1,balloon,n. 气球 vt. 使膨胀 vi. 如气球般膨胀，激增 adj. 气球状的
2,blazer,n. 运动夹克，男式便上装
3,blouse,n. 女衬衫
4,boot,n. 靴子，[英]汽车行李箱，猛踢， 锁扣 vt. 踢， 穿靴子，锁车 vi. 启动（计算机)，在（通常为非法停放的汽车）车轮上装制动装置， 利用， 帮助
5,casual,adj. 偶然的， 随便的， 非正式， 漫不经心的
6,cloth,n. 布料， 一块布
7,clothes,n. 衣服
8,comfortable,adj. 舒适的，充裕的
9,costume,n. 服装，剧装 vt. 提供服装， 为...设计服装 adj. 服装打扮的
10,dark,adj.黑暗的； 乌黑的； 忧郁的； 神秘的 n.黑暗； 暗色； 暗处
11,decoration,n. 装饰， 装饰品
12,dress,n. 女装，服装，连衣裙 vt. &amp;vi. 穿著 adj. 正式的(衣服)
13,dress code,着装规定
14,dressing,n. 穿衣，打扮，敷料，包扎，调料，填料，肥料 dress的现在分词
15,fancy,n. 想像力， 幻想， 喜好， 爱 adj. 想像的， 时髦的， 华丽装饰的， 奢侈的， 技巧的 vt. 想象， 自认为， 喜好
16,festival,adj. 节日的，喜庆的，快乐的 n. 节日，庆祝及祭祀，欢宴
17,guest,n. 客人， 客串演员， 特邀来宾 vt. 款待 vi. 作客
18,interest,n. 兴趣， 嗜好， 利息; 股份 vt. 使...感兴趣
19,item,n. 项目，条款， 一件商品（或物品） adv. 也
20,jacket,n. 短上衣， 茄克衫
21,jean,n. 斜纹布 （复数）jeans:牛仔裤 Jean：琴(女子名)，杰(男子名)
22,rain,n. 雨(水)， (复数)雨季 vi. 下雨 vt. 使大量落下
23,sandal,n. 便鞋， 凉鞋
24,shoe,n. 鞋
25,shop,n. 商店 vi. 购物，寻找 vt. 购物，逛商店
26,skirt,n.裙子； 边缘； （连衣裙、外衣等的）下摆； （车辆或机器基座的）挡板 vt.&amp; vi.位于…的边缘； 沿…的边缘走； 绕开； 避开，避开
27,sock,n. 短袜，喜剧，猛击 vt.&amp; vi. 重击，痛打
28,sportswear,n. 运动装，休闲活动穿着的衣服
29,suit,n. 套装， 诉讼， 请求 v. 适合， 取悦， 满足
30,sweater,n. 毛衣，出汗者
31,swimming,n. 游泳 adj. 会游泳的，游泳的 动词swim的现在分词
32,trouser,n. （常复数）裤子
33,uniform,adj. 一致的，统一的 n. 制服 vt. 穿制服
34,waiter,n. 侍者，(男)服务员 n. 托盘
35,waitress,n. 女侍者， 女服务员
36,walking,adj. 活的 n. 走，路面状况 动词walk的现在分词形式
37,wear,n. 穿著，磨损，耐久性 vt. 穿著，用旧，耗损，呈现 vi. 磨损， 变旧
