1,British,adj. 英国的 n. 英国人， 英国英语
2,CD,abbr. 激光唱片(=compact disc)
3,a couple of,两个， 几个
4,adopt,v. 采用， 收养， 接受
5,advantage,n. 优势，有利条件 vt. 有利于
6,advice,n. 忠告，建议，劝告
7,aim,n. 目标，对准， 枪法 vt. 瞄准， 针对 vi. 旨在， 瞄准， 打算
8,amount,n. 数量， 总额 vi. 总计， 等于
9,angry,adj. 生气的，伤口红肿的
10,appearance,n. 外表，出现，出场
11,architecture,n. 建筑学， 建筑业， 建筑物， 结构  [总称]建筑物， 建筑风格
12,aristocrat,n. 贵族，有贵族气派的人，最优秀者
13,army,n. 军队，陆军，大群
14,artificial,adj. 人造的，虚伪的，武断的
15,ascending,adj. 上升的  动词ascend的现在分词
16,attention,n. 注意(力)，关心，立正
17,attentive,adj. 注意的， 留意的
18,average,n. 平均数，平均水平 adj. 一般的，通常的，平均的 vt. &amp;vi. 取平均值，达到平均水平
19,awareness,n. 认识(了解，知道)
20,behavior,n. 行为，举止
21,benefit,n. 利益， 津贴; 义卖， 义演 vt. 有益于 vi. 得益
22,blast,n. 爆破，冲击波，气流，一阵，汽笛声 vi. 爆破，突然发出声音 vt. 喷射，炸掉
23,breed,n. 品种，族类 vt. 养育，繁殖，引起 vi. 繁殖
24,career,n. 生涯， 职业， 事业 vi. 猛冲， 飞跑 vt. 在...中急行
25,cause,n. 原因；事业；目标 vt. 引起；使遭受
26,century,n. 世纪，一百年，成百的东西
27,challenging,adj. 大胆的(复杂的， 有前途的， 挑战的) n. 复杂(有前途， 大胆， 挑战)
28,chance,n. 机会， 意外， 运气， 风险 vi. 偶然发生 vt. 偶然发生， 冒险
29,character,n. 个性， 品质; 字符; 人物; 名誉; 地位
30,cinema,n. 电影院，电影
31,cite,vt. 引用，引证，传讯，嘉奖
32,classical,adj. 古典的， 典雅的， 经典的
33,clock,n. 时钟， 计时器
34,cocktail,adj. 鸡尾酒(的) n. 鸡尾酒
35,collection,n. 收藏品，收集物，小组，集合
36,commercial,adj. 商业的 n. 商业广告
37,condition,n. 情况， 条件 v. 以...为条件， 决定， 支配， 训练
38,confidence,n.信心； 信任； 秘密
39,conquest,n. 征服
40,contact lenses,n. 隐形眼镜
41,controversy,n. (公开的)争论，争议
42,cultivation,n. 教化， 培养， 耕作
43,delegate,n. 代表 vt. 派…为代表；委派 vi. 委派
44,demonstration,n. 示范，实证，表达，集会
45,difference,n. 差异，分歧 vt. 引起区别
46,direct,adj. 笔直的，直接的，坦白的 vt. 指挥，命令，负责 vi. 指导，指出
47,disco,n. 迪斯科舞厅，迪斯科舞曲 vi. 跳迪斯科舞
48,document,n. 文件，公文 vt. 记载，用文件等证明 [计算机] 文档
49,domestic,adj. 国内的， 家庭的， 驯养的 n. 家仆， 佣人
50,dominant,adj. 占优势的，主导的，显性的 n. 主宰者
51,east,adj. 东方的 adv. 向东方 n. 东， 东方
52,effect,n. 结果， 影响， 效果; 要旨 vt. 招致， 引起; 实现， 达到
53,efficient,adj. 效率高的，有能力的
54,energy,n. 活力，精力，能力，能，能量
55,exaggerate,vt. &amp;vi. 夸大，夸张
56,exciting,adj. 令人兴奋的
57,experience,n. 经历， 经验 vt. 经历， 体验
58,explosion,n. 爆炸，爆发，激增
59,export,vt. 输出，出口 n. 出口，输出品 vi. 传播，输出 adj. 出口的
60,factor,n. 因素，因子 vt. 把…因素包括进去 vi.作为因素
61,fake,n. 假货，欺骗，骗子 adj. 假的 vt. 伪造，伪装 vi. 假造
62,familiar,adj. 熟悉的，熟知的，不拘礼节的 n. 熟人，熟悉某种事物的人
63,famous,adj. 著名的，一流的
64,farmer,n. 农夫
65,fashion,n. 流行，风尚，时样，时装 v. 形成，造，作
66,fashionable,adj. 流行的， 时髦的
67,feature,n. 特征， 容貌 vt. 以...为特色 vi. 起重要作用
68,female,adj. 雌的，女(性)的 n. 雌性的动植物，女子
69,fiber,n. 纤维(物质)，力量
70,film,n. 电影， 胶卷， 薄膜 vt. 把...拍成电影， 给...覆上一薄层 vi. 从事电影拍摄
71,fire,n. 火，火灾，射击 v. 点燃，解职，开枪
72,fly,n. 苍蝇，两翼昆虫，飞行，升高 vt. &amp;vi. 飞，飞翔，逃走，飞逝，猛然移动
73,focus,n. 焦点， 焦距 v. 集中， 聚集， 使集中
