1,Olympic,adj. 奥林匹克的
2,addition,n. 增加，附加物，加，加法
3,adequate,adj. 足够的， 充足的， 适当的， 能胜任的
4,age,n. 年龄，时期，很长时间 vt. (使)变老 vi. 变老，(使）变成熟
5,agriculture,n. 农业
6,alternative,adj. 两者择一的; 供选择的; 非主流的 n. 替换物， 取舍
7,amazing,adj. 令人惊异的
8,ambiguous,adj. 模棱两可的
9,anger,n. 怒，愤怒；忿怒 vt. 使发怒，激怒；恼火 vi. 发怒；恼火
10,answer,vt.&amp; vi.答复； 解答； 答辩； 适应 n.回答； 答案； 反应； 足以媲美的人
11,apostrophe,n. 省略符号，顿呼法
12,appeal,n. 恳求， 上诉， 吸引力 n. 诉诸裁决 v. 求助， 诉请， 呼吁; 有吸引力
13,approval,n. 批准， 认可， 同意， 赞同
14,arrival,n. 到达，达到，到达者
15,artistic,adj. 艺术的
16,assistance,n. 帮助， 援助
17,author,n. 作者，创造者 vt. 创造，写作
18,authority,n. 权威；权力；当局
19,awful,adj. 可怕的， 畏惧的， 充满敬畏的， 艰难的 adv. 极其
20,band,n. 带;箍，队，乐队 vt. &amp;vi. 联合，结合
21,barren,adj. 不育的， 贫瘠的
22,basis,n. 基础，根据，主要成分
23,beautiful,adj.美丽的， 漂亮的
24,belt,n. 带(状物)，腰带 vi. 飞奔，大声唱 vt. 系上腰带，环绕，击打，大声唱
25,bridge,n. 桥，鼻梁，桥牌 vt. 渡过，架桥
26,cage,n. 笼子 v. 关入笼中 vt. 把...关入笼内
27,candle,n. 蜡烛
28,carving,n. 雕刻品， 雕刻， 雕刻术 动词carve的现在分词
29,chat,n. 聊天，闲谈 vt. &amp;vi. 谈天，闲谈
30,cheerful,adj. 高兴的， 快乐的
31,complaint,n. 抱怨
32,consumption,n. 消费
33,container,n. 容器， 集装箱
34,contract,n. 合约， 婚约; 合同书 v.签合同； 缩小； 感染
35,correspondence,n. 通信；一致；相当
36,cotton,n. 棉花，棉 vi. 向…讨好，明白，领悟
37,craft,n. 工艺， 手艺， 狡诈，航空器， 行会成员 vt. 手工制作
38,crisis,n. 危急关头，危机
39,critical,adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
40,cupboard,n. 碗橱
41,curly,adj. 卷曲的
42,danger,n. 危险
43,delay,n. 耽搁，迟滞 vt. 耽搁，延迟 vi. 耽搁
44,depression,n. 沮丧，萧条
45,depth,n. 深度，强度，诚挚
46,deteriorate,vt. (使)恶化 vi. (使)恶化， 瓦解， 衰退
47,development,n. 发展，显影， 开发区， 开发
48,dial,n. 刻度盘，针面，转盘 vt. 用仪表测量，操作仪表 vi. 拨号，用仪表测量 [计算机] 拨号
49,discovery,n. 发现， 发现物
50,elbow,n. 手肘， 急弯， 扶手 v. 用手肘推开， 推挤
51,emotion,n. 情感，情绪，感动
52,enhance,vt. 提高，加强，增加
53,enthusiasm,n. 热心，热忱，热情
54,essential,adj.基本的； 必要的； 本质的； 精华的 n.必需品； 基本要素； 必不可少的东西
55,event,n. 大事， 事件， 项目， 活动
56,exception,n. 除外，例外
57,excuse,n. 借口，理由；低劣的样品，假条 vt. 原谅，辩解，准许离开，同意赦免
58,expansion,n. 扩大，膨胀，扩充
59,expectancy,n. 期待(公算)
60,exposure,n. 面临（困难），显露，暴露，揭露，曝光
61,fabric,n. 织物， 布， 结构
62,flash,n. 闪光，闪现，闪烁物，花哨，一瞬间，电脑动画技术 vi. 闪现，闪烁 vt. 传送，用光联络，流露出 adj. 花哨的，炫耀的，昙花一现的
63,former,adj. 以前的，在前的 pron.&amp;amp;n. 前者
64,free,adj. 自由的，大方的，免费的 vt. 释放，解放 adv. 自由地，免费地
65,frequency,n.&amp;amp;adj. 频繁，频率
66,fundamental,adj. 基本的，根本的，重要的 n. 基本原理，基础
67,genetic,adj. 基因的， 遗传的， 起源的
68,handball,n. 手球， 墙手球运动
69,harbour,n. 海港 vt 停泊
70,hazardous,adj. 危险的，冒险的，碰运气的
71,hero,n. 男主角， 男主人公， 英雄
72,heroine,adj. 英雄式的， 英勇的 n. 女英雄， 女主角
73,heyday,n. 全盛期 int. 嘿（喜悦、惊奇时所发声音）
74,housekeep,vi. 自立门户，主持家务
75,housing,n. 房屋(外壳， 外套， 外罩， 住宅， 卡箍， 遮盖物)
76,hunting,n. 打猎， 搜寻 [电子学]速度偏差
77,immune,adj. 免除的，免疫的 n. 免疫者
78,improve,vt. 改进，利用，(提高)价值 vi. 改进
79,inability,n. 无能，无力
80,independence,n. 独立， 自主， 自立
81,inland,adj. 内陆的， 国内的 adv. 内陆地 n. 内陆
82,innovation,n. 创新， 革新
83,intervention,n. 插入，介入，调停
84,irritable,adj. 易怒的，急躁的 adj. 【医】过敏的，易感受刺激的，
85,jewelry,n. 珠宝， 珠宝类
86,journalist,n. 记者， 新闻工作者
87,kiosk,n. 亭， 凉亭， 报摊
88,knife,n. 刀 v. 用刀切割， 如刀割般
89,knowledge,n. 知识，了解
90,latest,形容词late的最高级形式 adj. 最近的，最新的 n. 最迟的时间，最新的潮流
91,lava,n. 熔岩， 火山岩
92,layer,n.层，层次； 膜； [植]压条； 放置者，计划者 vt.把…分层堆放； 借助压条法； 生根繁殖； 将（头发）剪成不同层次 vi.形成或分成层次； [植]通过压条法而生根
93,layout,n. 布局， 安排， 设计
94,lessen,v. 减少， 变小， 减轻
95,letter,n.信； 证书，许可证； 字母，文字； 字面意义 vt.用字母标明； 写字母于； 加标题 vi.写印刷体字母
96,likelihood,n. 可能性
97,loss,n. 丧失， 损耗， 亏损
98,magic,adj. 有魔力的， 神奇的 n. 魔法， 魔术 vt. 使用魔(变出等)
99,maintain,vt. 维持; 维修， 保养; 坚持; 断言
100,margin,n. 差额，利润，页边空白，边缘 vt. 使围绕于，加边缘
101,mathematics,n. 数学
102,metal,n. 金属，质料 adj. 金属制的 v. 以金属覆盖
103,mill,n. 磨粉机， 磨坊， 制造厂， 密尔:一种货币单位， 使陷于困境 vt. 磨细 vi. 乱转， 磨细
104,miserable,adj. 悲惨的，痛苦的，贫乏的
105,mixture,n. 混合， 混合物
106,naught,pron. 无 n. 无，零 adj. 无用的
107,noise,n. 声音，响声，喧哗声，噪声 vt. 谣传 vi. 大声说话， 发出噪音
108,objective,adj. 客观的， 目标的 n. 目标， 目的; 物镜 n. =objective case 宾语
109,oil,n. 油，油画颜料，奉承话 vt. &amp;vi. 涂油，溶化，加油
110,opportunity,n. 机会， 时机
111,ordinary,adj. 普通的
112,page,n. 页 v. (给...)当听差 vt. (通过扩音器、传呼机等)呼叫
113,parcel,n. 包裹，小包 vt. 打包；捆扎
114,perfect,adj. 完美的；最好的；精通的 vt. 使完美；使熟练 n. 完成式
115,performer,n. 表演者， 执行者
116,permit,n. 许可证，执照 vt. &amp;vi. 允许，许可
117,petrol,n. 汽油
118,pianist,n. 钢琴家
119,polish,n. 磨光，擦亮；擦亮剂；优雅，精良 vi. 擦亮，变光滑 vt. 磨光，使发亮；使完美; 改进 v. 磨光；修改；润色 adj. 波兰的
120,politics,n. 政治，政策，政治活动，政见
121,poll,n. 投票，民意测验，民意，票数 vt. 做民意测验，获得...票，剪树枝  vi. 投票
