1,Internet,n. 因特网
2,abbreviation,n. 缩写
3,abuse,n.滥用； 恶习； 侮辱； 恶言 vt.滥用； 虐待； 辱骂
4,acid,adj. 酸的 n. 酸， 酸味物质
5,actor,n. 男演员
6,adequate,adj. 足够的， 充足的， 适当的， 能胜任的
7,adventure,n. 冒险，奇遇 vt. 冒险，尝试 vi. 大胆进行，冒险
8,advertising,n. 广告业，广告 adj. 广告的
9,agreement,n. 同意， 一致， 协议
10,aid,n. 帮助，救护，辅助物 vt. &amp;vi. 援助，帮助，救护 abbr.=Agency for International Development 国际开发署[美]
11,airport,n. 机场
12,almost,adv. 几乎，差不多 adj. 几乎
13,announcement,n. 公告，发表，告知
14,association,n. 联合，结合，交往，协会，社团，联想
15,attempt,vt.试图； 尝试 n.进攻； 尝试，冲击
16,award,vt.授予，奖给，判给； 判归，判定 n.奖品； （仲裁人、公断人的）裁定； （法院、法官的）判决； 裁定书
17,basic,adj.基本的； [化学]碱性的； [地质学]基性的； 首要的 n.基础，基本； 基本原则，基本原理，基本规律； 要素； 基础训练
18,beat,n. 打，敲打声，拍子，独家报道，一会儿 vt. &amp;vi. 打，打败
19,blind,adj. 盲目的，瞎的，未察觉的 n. 百叶窗，幌子 vt. 使失明，隐藏 adv. 盲目地
20,blond,adj. 金发的 n. 金发的人
21,bone,n. 骨，骨骼，核心 vt. 除去骨头，往衣服里加撑条，磨光表面 vi. 努力学习 adv. 非常地，极其地
22,bowl,n. 碗， 物体的碗状部分， 季后赛， 圆形露天剧场 vi. 打保龄球， 快速移动 vt. 投球， 投球得分
23,branch,n. 分支，树枝 vt &amp;vi. 分支， 分岔
24,breath,n. 呼吸，气息，微风，迹象，精神，一种说话的声音
25,broad,adj.宽阔的； 广泛的； 概括的； 明显的 n.婆娘
26,burglar,n. 窃贼
27,cannibal,n. 食人者，吃同类的动物 adj. 食同类的，吃人肉的
28,carpet,n. 地毯，毛毯 vt. 铺以地毯，铺盖
29,charitable organization,慈善机构
30,charity,n. 慈善机关(团体)，仁慈，宽厚
31,clever,adj. 聪明的，机灵的
32,client,n.顾客； 当事人； 诉讼委托人； [计算机]客户端
33,cliff,n. 悬崖， 峭壁
34,concession,n. 让步， 妥协， 特许权
