1,accountable,adj. 负有责任的
2,accuracy,n. 准确(性)， 精确度
3,altitude,n. 高度，海拔，高地
4,appointment,n. 约会， 预约， 任命， 委派， 官职， 设备
5,attitude,n. 态度， 看法， 姿势
6,automobile,n. 汽车 adj. 汽车的
7,badge,n. 徽章，标记
8,battery,n. 电池，一系列，排炮
9,beard,n. 胡须 vt. 抓住胡须，公开反对
10,beauty,n. 美，美丽，美人，美的东西
11,brick,adj. 砖似的 n. 砖 v. 用砖围砌，用砖填补 vt. (up)用砖砌，用砖堵住
12,calculating,adj. 深谋远虑的， 精明的，计算的 动词calculate的现在分词
13,capacity,n. 能力， 容量， 容积; 资格， 职位 adj. (达到最大容量)满的
14,channel,n. 通道，频道，海峡，方法 vt. 引导，开导，形成河道，输送
15,chocolate,n. 巧克力， 巧克力糖， 巧克力饮品 adj. 巧克力的， 有巧克力糖衣的， 巧克力色的
16,climate,n. 气候， 风气， 气氛
17,companion,n. 同伴， 同事， 成对物品之一， (船的)甲板间扶梯(或扶梯的顶篷) vt. &amp;vi. 陪伴
18,concentration,n. 集中， 专心， 浓度
19,concert,n. 音乐会， 一致， 和谐 vt. 制定计划， 通过协商达成一致 vi. 合作
20,corrupt,adj. 腐败的，堕落的 vt. 使...恶化，贿赂，使...腐烂 vi. 腐烂，堕落
21,decade,n. 十年
22,decline,n. 衰微， 跌落; 晚年 v. 降低， 婉谢
23,digital,adj. 手指的，数字的，数码的，电子的
24,disposal,n. 处理，消除，销毁，处置 n. 弃菜碾碎器
25,drum,n. 鼓， 鼓声， 鼓状物， 冰丘 vi. 击鼓， 作鼓声， 引起兴趣 vt. 召集入伍， 逐出， (经过努力)推动...， 连续击打
26,effective,adj. 有效的，有影响的
27,emperor,n. 皇帝
28,engrave,v. 雕刻
29,ethic,n. 道德规范， 伦理
30,evolution,n. 进化， 发展， 进展
31,exposition,n. 博览会， 展览会， 说明
32,fan,n. 风扇，扇形物，狂热者 vt. 风选，煽，吹，煽动，向扇子一样展开 vi. 像扇子一样行动，鱼贯而出
33,filter,n. 筛选，滤波器，过滤器，滤色镜 vt. &amp;vi. 过滤，渗透 [计算机] 过滤
34,flood,n. 洪水，水灾 v. 淹没，溢出 vi. 大量涌到，泛滥 vt. 灌溉，淹没
35,flooding,n. 泛滥， [医]产后出血 adj. 泛滥的 动词flood的现在分词形式
36,floor,n. 地板，楼层，底部，地面，议员，底线 vt. 铺地板，击倒，油门踩到底
37,fortnight,n. 两星期，十四天
38,general election,大选
39,grill,n. 烤架，铁格子，烤肉 vt. 烧，烤，严加盘问
40,hearing,n. 听力，听觉，说话或申辩的机会，审讯，听证会 动词hear的现在分词
41,hunt,n. 狩猎， 追捕， 搜寻 v. 狩猎， 打猎， 搜索
42,illegal,adj. 不合法的，非法的 n. 非法移民
43,indicator,n. 指示器， 指示剂 [计算机] 指示符
44,influence,vt. 影响， 感化 n. 影响力， 势力; 影响， 权势 n. 有影响的人(或事物)
45,initial,n. (词)首字母 adj. 开始的， 最初的， 字首的 vt. 签姓名的首字母于
46,instruct,v. 教， 命令， 指导 [计算机] 指示
47,kilogram,n. 千克， 公斤
48,king,n. 国王
49,layout,n. 布局， 安排， 设计
50,legal,adj. 法律的，合法的，法定的
51,liter,n. 升， 公升(容量单位) =litre(英)
52,little-known,adj. 很少人知的
53,magnificent,adj. 壮丽的，宏伟的，极好的
54,manufacture,n. 产品，制造，制造业 vt. 制造，加工 vi. 参与制造
55,mat,n. 垫，丛，衬边，消光面 vt. 遮盖， 保护， 用垫子装饰， 使纠缠，铺席于...上，使...无光泽，给(照片)镶框 vi. 缠结
56,measure,n. 措施， 办法， 量度， 尺寸 v. 测量， 量
57,microchip,n. [计]微芯片
58,mile,n. 英里，大量，海里，一英里赛跑
59,mine,pron.(I的所有格)我的（东西） n.矿； 矿井； 地雷； 水雷 vt.&amp; vi.在…中开采，开采 vt.在…中[下]布雷； 以地雷[水雷]炸毁
60,moderate,adj. 适度的， 稳健的， 温和的， 中等的 v. 节制， 使...稳定， 使...缓和 n. 稳健的人
61,monitor,n. 监督器， 班长， 监听员， [计算机]显示器， 监视器 v. 监视， 监听， 监督
62,mood,n. 心情， 情绪， 语气
63,morality,n. 道德， 美德， 品行， 道德观
64,moustache,n. 小胡子，八字须 =mustache（美）
65,network,n. 网络，系统，广播网 vt. 用网覆盖，联网 vi. 加入网络
66,nurse,n. 护士，保姆，奶妈 vi. 看护，照顾，栽培，当看护 vt. 哺乳，看护
67,passage,n. 通道，走廊，一段文章，旅程 vi. 通过 vt. 通过
68,percent,adj.&amp; adv. 百分之一，(与基数词连用)百分之... n. 百分之...
69,petrol,n. 汽油
70,philosopher,n. 哲学家，思想家，达观者
71,pleasant,adj. 令人愉快的，舒适的
72,precision,n. 精确，精密度 adj. 以精准的执行而著称的， 经得起极精细测量的
73,preservation,n. 保存
74,property,n. 财产; 性质; 道具
75,radar,n. 雷达
76,rank,n. 队列，排名，等级，军衔，阶级 adj. 繁茂的，恶臭的，讨厌的 vt. 排列，归类于
77,raw,adj. 生的，未加工的，原始的，不熟练的，寒冷的 n. 触到某人的痛处
78,reinvest,vt. 再投资， 再授给
79,relief,n.宽慰，安心； 免除，减轻； 救援物资； 代班人
80,reproduce,v. 再生， 复制， 生殖
81,rider,n. 骑士， 附件， 扶手
82,river,n. 江， 河
83,scale,n. 鳞， 刻度， 衡量， 数值范围 v. 依比例决定， 攀登
84,sculpture,n. 雕塑 vt. 雕刻，雕塑 vi. 当雕刻师
85,season,n. 季节，时期，旺季，上演期 vt. 加调味料调味，使...适用于 vi. 使…被调味，
86,sector,n. 扇形，扇区，部门，区域 vt. 分区
87,serial,n. 序列，串列 adj. 连续的，一连串的
88,shade,n. 色度，荫凉处，稍微 vt. &amp;vi. 渐变，遮蔽，微减
89,shoplifter,n. 在商店中行窃的小偷
90,sign,n. 符号， 正负号， 手势， 迹象， 招牌 v. 签， 做手势， 做标记
91,simulation,n. 模拟，仿真，赝品
92,steering,n. (汽车或船等的)转向装置
93,strength,n. 力量，力气，长处，强度
94,stressful,adj. 紧张的， 压力重的
95,stretch,n. 伸展，张开 adj. 可伸缩的 vt. &amp;vi. 伸展，张开，延伸
96,suntan,n. 晒黑的肤色
97,tank,n. 水槽，池塘，战车 vt. 储于槽中，击败 vi. 放弃
98,television,n. 电视
99,tide,n. 潮，趋势，潮流 vt. 使...随潮漂流 vi. 涌动
100,traditional,adj. 传统的
101,tunnel,n. 隧道，地下道 v. 挖隧道
102,usage,n. 惯用法，使用，用法
103,website,n. 网站
104,weekday,n. 工作日
105,weekend,n. 周末 vi. 过周末 adj. 周末的， 兼职的
106,westerner,n. 西方人，（美国的）西部人
