1,animal,n.动物，兽，牲畜； &lt;俚&gt;家畜，牲口； &lt;俚&gt;畜生（一般的人）； 兽性 adj.动物的； 肉体的； 肉欲的
2,ape,n. 猿
3,bird,n. 鸟，家禽，陶土飞靶，伙伴 vi. 观察或辨认鸟
4,breeding,n. 生养，教养，抚养，繁殖，血统，育种 breed的现在分词
5,cattle,n. 牛 n. 家畜，马，无价值的人，畜牲
6,chick,adj. 胆小的，懦弱的 n. 小鸡
7,crocodile,n. 鳄鱼
8,crop,n. 庄稼，收成， 一群，平头 vt. 割掉， 修剪， 剪短， 收割， 使谷物生长 vi. 啃青草， 种植谷物
9,dolphin,n. 海豚
10,donkey,n. 驴子；傻瓜；顽固的人
11,eagle,n. 鹰 vt. (高尔夫）鹰击
12,elephant,n. 大象， 庞大笨拙难处理的事物
13,emu,n. 食火鸟
14,feather,n. 羽毛，心情，种类，服饰 vt. 用羽毛装饰 vi. 长出羽毛
15,flower,n. 花，华丽，盛年，精英，自然发展的结果 vi. 成熟，开花 vt. 使开花，用花装饰
16,fur,n. 毛皮服饰，毛皮制品，毛皮
17,grain,n. 谷物， 谷类， 颗粒， 细粒， 纹理 vt. 用谷物喂养， 形成颗粒
18,hen,n. 母鸡
19,hippo,n. &amp;lt;非正式&amp;gt;河马 =hippopotamus
20,hoofed,adj. 有蹄的， 装蹄的， 蹄形状的
21,horse,n. 马 vt. 骑马 adj. 马的
22,insect,n. 昆虫
23,kaka,n.(新西兰产的)卡卡鹦鹉
24,kangaroo,n. 袋鼠
25,kelp,n. 一种大海草， 海草灰
26,kiwi,n. 猕猴桃， 几维（一种新西兰产的无翼鸟）， 新西兰人
27,koala,n. 考拉，树袋熊
28,lemon,n. 柠檬
29,lion,n. 狮子
30,mammal,n. 哺乳动物
31,mane,n. (马等的)鬃毛
32,migration,n. 移民，移往，移动
33,mosquito,n. 蚊子
34,pet,adj. 宠爱的，珍爱的 n. 宠物，生气 vt. 宠爱，抚摸，溺爱 vi. 拥抱
35,plant,n. 植物，设施，设备，工厂 v. 种植，建立，设立
36,rare,adj. 稀罕的， 罕见的， 珍贵的
37,rhino,n. (非正式）犀牛 n. &amp;lt;俚&amp;gt; 钱， 现金
38,sea,n. 海， 海洋
39,shark,n. 鲨鱼，贪婪的人，老手
40,shear,n. 修剪，剪下的东西，羊的一岁 vt. 剪掉， 割， 剥夺 vi. 修剪， 切割， 剥夺， 穿越
41,sheep,n. 羊， 绵羊
42,species,n. [生物] 物种；种类  adj. 物种上的
43,spider,n. 蜘蛛
44,tree,n. 树
45,vegetation,n. 植物，草木，(植物)生长
46,wasp,n. 黄蜂， 胡蜂
47,weed,n. 杂草，菸草 vi. 除草 vt. 除草，摆脱
48,whale,n. 鲸，大量 vi. 捕鲸 vt. 鞭打，打击，打败
49,wildlife,n. 野生动物
50,willow,n. 柳树，柳木制品
51,wood,n.木材； 树林； 木制品 vi.收集木材 vt.在…植树造林； 给…添加木柴 adj.木制的； 失去理智的
52,zebra,n. 斑马，斑马线
