1,X-ray,n. X射线(X光机，X光照片) vt 用X射线检查
2,allergic,adj. 过敏的，反感的
3,allergy,n. 敏感症，反感，厌恶
4,ambulance,n. 救护车
5,ankle,n. 踝， 踝关节
6,appointment,n. 约会， 预约， 任命， 委派， 官职， 设备
7,aspirin,n. 阿斯匹林
8,attack,vt.&amp; vi.攻击，进攻，抨击 n.攻击； 抨击； （队员等的）进攻； （疾病）侵袭 vt.抨击； 非难； 侵袭； 损害
9,bacteria,n. (复数)细菌
10,bandage,n. 绷带
11,blood,n. 血，血统，仇恨 vt. 流血
12,capsule,n. 荚膜， 胶囊， 简缩， 太空舱 vt. 装入胶囊， 简缩， 概括 adj. 精简的， 小巧的
13,chemist,n. 化学家， 药剂师
14,chest,n. 胸， 大箱子， 金库， 资金， 一箱， 密封室， 衣橱
15,chin,n. 下巴，颏 vt. 做单杠 vi. 作引体向上， 聊天
16,clinic,n. 诊所，门诊部，科室
17,cough,n. 咳嗽 vt. &amp;vi. 咳嗽
18,cream,n.乳霜； 精英； 奶油色； 乳脂，奶油 vt.把…搅成糊状（或奶油状）混合物； 彻底打败，狠揍
19,cycle,n. 循环，周期，长期，圈，套曲，自行车， vt. 环行，骑自行车 vi. 使环行
20,dentist,n. 牙科医生
21,disabled,adj. 残废的 n. 残疾人
22,disease,n. 疾病，弊端
23,dizzy,adj. 晕眩的， 傻的， (速度)极快的， 困惑的 vt. 使困惑， 使晕眩
24,drug,n. 药，毒品 vt. 下药，使...服麻醉药 vi.吸毒
25,ear,n. 耳朵， 听觉， 倾听， 麦穗 vi. 长出麦穗
26,epidemic,n. 传染病， 流行病 adj. 流行的， 传染性的
27,eye,n. 眼睛 v. 看， 注视
28,eyedrops,眼药水
29,fever,n. 发烧，狂热 vt. 激怒 vi. 发烧
30,finger,n. 手指，指针 vt. 用手指触碰（演奏），（用手）指， vi. 触摸，用手指演奏乐器，
31,flu,n. 流行性感冒
32,germ,n. 微生物， 细菌
33,headache,n. 头痛
34,health,n. 健康，卫生，保健
35,heart,n. 心，中心，要点，在扑克牌中指红桃 v. 鼓起勇气，激励
36,heart disease,n. 心脏病
37,herb,n. 药草， 香草
38,hospital,n. 医院
39,illness,n. 病， 疾病
40,infection,n. 传染， 影响， 传染病
41,injection,n. 注射，注射物，数学函数
42,injury,n. 受伤处，损害，伤害
43,insomnia,n. 失眠(症)
44,internal,adj. 国内的， 内在的，身体内部的
45,jaw,n. 颚，颌，说教，流言蜚语 vt. &amp;vi. 喋喋不休，教训
46,lung,n. 肺，呼吸器官
47,malaria,n. 疟疾
48,male,adj. 男性的，雄性的 n. 男子，雄性动物
49,medical,adj. 医疗的，医学的，药物的，需治疗的
50,medicine,n. 药， 医学
51,mental,adj. 精神的，脑力的，精神错乱的，传心术的，[解剖学]颏的
52,mixture,n. 混合， 混合物
53,mouth,n. 嘴，开口，需要供养的人，夸张说话的趋势，（河流等）入口，容器的开口 vt. 装腔作势说话， 送进嘴里，喃喃自语，用唇语说 vi. 傲慢地说，嘟嘴扮鬼脸
54,neck,n. 脖子，颈
55,nose,n. 鼻子， 突出部分， 嗅觉 v. 嗅，嗅到
56,nurse,n. 护士，保姆，奶妈 vi. 看护，照顾，栽培，当看护 vt. 哺乳，看护
57,oculist,n. 眼科医生，配镜师
58,ointment,n. 药膏，油膏，软膏
59,optic,n. 镜片 adj. 光的(视觉的)
60,painkiller,n. 止痛药
61,patient,adj. 有耐心的， 能忍耐的 n. 病人
62,penicillin,n. 青霉素
63,physical,adj. 身体的，物理的，物质的 n. 体检
64,physician,n. 内科医生
65,pill,n. 药丸，无法逃避的讨厌事，屈辱事 vt. 服用药丸，把...制成药丸，被抢劫 vi.起球粒，成丸状，阶段性完成
66,pneumonia,n. 肺炎
67,precaution,n. 预防，留心，警戒
68,prescription,n. 药方， 对策， 开处方
69,prevention,n. 阻止， 妨碍， 预防
70,psychiatric,adj. 精神病的，治疗精神病的
71,recipe,n. 食谱，处方，秘诀
72,relaxation,n. 松弛，放松，减轻
73,scar,n. 疤痕，伤痕，断崖 vt. &amp;vi. 结疤，使...有伤痕，痊愈
74,sick,adj. 恶心的， 有病的， 腻烦的， 晕的 n. 病人， 呕吐物 vt.追逐， 攻击; 唆使
75,sight,n. 景观， 视力， 眼界 vt. 看见， 观看 vi. 瞄准
76,sleep,n. 睡眠，静止，睡意 v. 睡觉，睡眠，静止
77,sore throat,喉咙痛
78,stiff neck,颈部僵硬，顽固之人
79,stomach,n. 胃 v. 忍受，容忍 vt. 承受，忍受
80,stomachache,n. 胃痛 vi. 肚子痛
81,stuffed,adj. 塞满了的，喂饱的 动词stuff的过去式和过去分词
82,surgeon,n. 外科医生
83,symptom,n. 症状， 征兆
84,syrup,n. 糖浆，甜而黏稠的汁液
85,tablet,n. 药片， 匾， 片状物
86,teeth,n. 牙齿
87,therapy,n. 疗法，治疗
88,toothache,n. 牙痛
89,treatment,n. 治疗，疗法，处理
90,unhealthy,adj. 不健康的，不卫生的，病态的，危险的
91,vaccine,n. 疫苗 v. 疫苗的，牛痘的
92,vet,n. 兽医，老兵 vt. 诊疗，审查 vi. 作兽医
93,vitamin,n. 维生素
94,wound,vbl. 嗅出，吹号角(wind的过去式和过去分词)  n. 创伤，伤害，苦痛  vt. &amp;vi. 伤害
95,yellow fever,n. 黄热病
