1,Africa,n. 非洲
2,African,adj. 非洲的， 非洲人的 n. 非洲人
3,Alaska,n. 阿拉斯加(美国州名)
4,America,n. 美国，美洲
5,Antarctica,n. 南极洲
6,April,n. 四月
7,Arctic Ocean,n. 北冰洋
8,Asia,n. 亚洲
9,Asian,adj. 亚洲的 n. 亚洲人
10,Athens,n. 雅典(希腊首都)
11,Atlantic Ocean,大西洋
12,August,n. 八月(大写时） adj. 威严的，尊严的(小写时）
13,Australia,n. 澳大利亚
14,Berlin,n. 柏林
15,Britain,n. 不列颠， 英国
16,British,adj. 英国的 n. 英国人， 英国英语
17,Canada,n. 加拿大
18,Canadian,adj. 加拿大的，加拿大人的 n. 加拿大人
19,China,n. 瓷器；中国 adj. 瓷制的（小写时）
20,Chinese,adj. 中国的 n. 汉语，中国人
21,December,n. 十二月
22,Egypt,n. 埃及
23,Egyptian,adj. 埃及的，埃及人的 n. 埃及人
24,Europe,n. 欧洲
25,European,adj. 欧洲的 n. 欧洲人
26,February,n. 二月
27,France,n. 法国
28,French,adj. 法国(人)的，法语的 n. 法语 vt. 剁肉，蔬菜切成长条
29,Friday,n. 星期五
30,German,adj. 德国(人)的，德语的，日耳曼的 n. 德国人，德语，日耳曼人
31,Germany,n. 德国
32,Greece,n. 希腊
33,Greek,adj. 希腊(人)的 n. 希腊人，希腊语
34,India,n. 印度
35,Indian,n. 印第安人， 印度人 adj. 印度的，印度人的，印第安人的
36,Italian,adj. 意大利的 n. 意大利人
37,Italy,n. 意大利
38,January,n. 一月
39,Japan,n. 日本 n. 日本漆， 日本式漆器 n. 日本式物品
40,July,n. 七月
41,June,n. 六月，琼(女子名)
42,London,n. 伦敦
43,Malaysia,n. 马来西亚
44,Malaysian,adj. 马来西亚的， 马亚群岛的 n. 马来西亚人
45,Melbourne,n. 墨尔本（澳大利亚城市）
46,Monday,n. 星期一
47,November,n. 十一月
48,Oceania,n. 大洋洲
49,October,n. 十月
50,Russia,n. 俄罗斯
51,Russian,adj. 俄国的 n. 俄国人， 俄语
52,Saturday,n. 星期六
53,Scotland,n. 苏格兰
54,Scotsman,n. 苏格兰人
55,September,n. 九月
56,Spain,n. 西班牙
57,Spanish,adj. 西班牙的 n. 西班牙语
58,Sunday,n. 星期日
59,Sydney,n. 悉尼(澳大利亚东南部一城市)
60,Thursday,n. 星期四
61,Tuesday,n. 星期二
62,Wednesday,n. 星期三
63,camel,n. 骆驼，浮船箱，浅黄棕色
64,code,n. 码，密码，法规，准则 vt. 把...编码，制成法典
65,current,n. (水、气、电)流， 趋势 adj. 流通的， 现在的， 最近的
66,domestic,adj. 国内的， 家庭的， 驯养的 n. 家仆， 佣人
67,drill,n. 训练；钻孔机；钻子；播种机 vi. 钻孔；训练 vt. 钻孔；训练；条播 n. (Drill)人名；(德、英)德里尔
68,expo,n. 展览会
69,fiction,n. 小说，虚构
70,fortnight,n. 两星期，十四天
71,freezer,n. 冰库， 冰箱
72,gallery,n. 美术馆， 画廊， 顶层楼座， 狭长的房间
73,herd,n. 兽群，人群，牧人 vt. 群集，使...成群，放牧 vi. 聚在一起
74,leak,n. 漏洞 v. 漏，泄漏 vi. 漏，渗
75,march,n. (March)三月 n. 示威游行 vt. 使前进，使行军 vi. 行军，进军
76,maturity,n. 成熟  (支票等的)到期
77,may,n. 五月， 青春 v. aux.可能，可以，祝愿
78,morality,n. 道德， 美德， 品行， 道德观
79,nutrition,n. 营养
80,olive,n. 橄榄， 橄榄树， 橄榄色 adj. 黄绿色的， 黄褐色的， 橄榄色的
81,pedestrian,adj. 徒步的，缺乏想像的 n. 行人
82,perfume,n. 香水，香气 v. 洒香水于，薰香
83,promotion,n. 促进，提升，推广，升职
84,rocket,n. 火箭， 烟火 v. 发射火箭， 猛涨
85,seasonal,adj. 季节的， 依照季节的， 周期性的
86,slave,n. 奴隶， 完全受控制的人， 劳工， 从动装置 vt. 对另一种装置作出直接回应 vi. 拼命工作， 贩卖奴隶
87,weekday,n. 工作日
88,weekend,n. 周末 vi. 过周末 adj. 周末的， 兼职的
89,workforce,n. 劳动力， 工人总数， 职工总数
