1,Internet,n. 因特网
2,bibliography,n. (有关某一专题的)书目，参考书目
3,catalog,n. 目录， 大学概况手册， 商品型录 vt. 做目录， 分类说明， 名入列表 vi. 研究(手册或目录)， (商品)在型录中明码标价
4,category,n. 种类， 类别
5,circle,n. 圆周，社交圈，循环 vt. &amp;vi. 包围，盘旋，环绕
6,circulation,n. 流通，循环，发行量，消息传播
7,classification,n. 分类，分级
8,copy,n.复制品； 一份； （报刊等的）稿件； 准备排印的书面材料 vt.&amp; vi.复制； 抄写； 容许复制的 vt.模仿； 仿造…的样式或图案； 抄写； 复制
9,delivery,n. 递送， 交付， 分娩
10,due,n. 应得物，应付费 adj. 预定的， 应付的， 到期的， 应有的
11,index,n.索引； &lt;数&gt;指数； 指示； 标志 vt.给…编索引； 把…编入索引； [经济学]按生活指数调整（工资、价格等） vi.[机械学]转位
12,interlibrary,adj. (图书馆)馆际的
13,library,n. 图书馆， 藏书
14,loan,n. 贷款， 借出， 债权人 v. 借， 供应货款， 借给
15,overdue,adj. 过期的， 未兑的， 迟到的
16,periodical,n. 期刊 adj. 周期的， 定期的
17,pink,adj. 粉红色的，激进的 n. 粉红色，石竹花，典范 vt. 刺
18,renewal,n. 更新， 续借，革新， 复兴， 复活
19,reserve,n. 预备品， 贮存， 候补，预借 n. 克制， 含蓄 vt. 保留， 预订， 延期
20,shelve,vt. 放在架子上，搁置 vi. 倾斜
21,slip,vi.滑，滑脱； 犯过失，出错； （时间）不知不觉地过去； （健康状况等）变差 vt.使顺利滑动； 摆脱； 放松，松开 n.跌倒，失足； 纸条； 失误，口误； 事故 adj.滑动的； 可拆卸的； 打有活结的
22,stack,n. 堆叠，堆，书库 vt. 堆积，成叠放在 vi. 堆成一堆
