1,accountancy,n. 会计工作，会计学
2,anthropology,n. 人类学
3,applied,adj. 应用的 v. 应用， 适用 vbl. 应用
4,architecture,n. 建筑学， 建筑业， 建筑物， 结构  [总称]建筑物， 建筑风格
5,art,adj. 美术(品)的，艺术(品)的 n. 艺术， 技术， 阴谋， 美术
6,astronomy,n. 天文学
7,banking,n. 银行业
8,biology,n. 生物学
9,business,n. 商业，生意，事务
10,chemistry,n. 化学，化学性质，相互作用
11,computer,n. 计算机
12,discipline,n. 训练， 纪律， 惩罚; 学科 vt. 训练， 惩罚
13,economics,n. 经济学
14,engineering,n. 工程(学)，工程技术
15,environment,n. 环境，外界
16,finance,n. 财政， 资金 vt. 给...提供资金， 负担经费
17,fine,n. 罚款，罚金，结尾 vt. 罚款 vi. 净化，细化 adj. 美好的， 优质的， 精致的，晴朗的， 健康的，纤细的，恭维的，辞藻华丽的 adv. 恰好地，合适地
18,geography,n. 地理
19,history,n. 历史
20,language,n. 语言
21,law,n. 法规，规律，起诉，法则 vi. 起诉
22,linguistics,n. 语言学
23,literature,n. 文学， 文献
24,major,n. 主修， 专业，成年人， 陆军少校; 巨头 adj. 主要的， 较多的， 大部份的 vi. 主修
25,management,n. 管理(层)，经营，处理
26,media,n. (medium的复数)媒体，新闻媒介，传播媒介
27,mining,n. 采矿， 矿业
28,philosophy,n. 哲学，哲理
29,photojournalism,n.新闻摄影工作，摄影报道
30,physical,adj. 身体的，物理的，物质的 n. 体检
31,physics,n. 物理学
32,physiology,n. 生理学
33,politics,n. 政治，政策，政治活动，政见
34,psychology,n. 心理学
35,science,n. 科学
36,sociology,n. 社会学， 社会关系学， 群落生态学
37,statistics,n. 统计；统计学；[统计] 统计资料
