1,Cambridge,n. 剑桥
2,Oxford,n. 牛津城， 牛津大学
3,ability,n. 才能， 能力
4,academic,n. 教学人员，学术人员 adj. 学院的，理论的，学术性的
5,access,n.入口，出口； 接近，进入； 增长； 爆发 vt.接近，进入； 使用，接近，获取
6,achievement,n. 成就， 成绩， 完成， 达到
7,adult,adj. 成年的，成人的，成熟的 n. 成年人
8,aim,n. 目标，对准， 枪法 vt. 瞄准， 针对 vi. 旨在， 瞄准， 打算
9,application,n.适用，应用，运用； 申请，请求，申请表格； 勤勉，用功； 敷用，敷用药
10,argument,n. 辩论，争论，论点(据)，理由
11,audio,adj. 成音频率的，声音的 n. 音响设备
12,auditorium,n. 礼堂，观众席
13,book,n. 书，本子 vt. 登记，预订 vi. 通过...预订
14,break,n. 休息，中断，破裂 v. 打破，弄破，弄坏
15,campus,n. (大学)校园
16,center,n. 中心， 中间， 主角， 中锋， 重点 vi. 居中， 聚焦于... vt. 使集中， 放在中央
17,chart,n. 图表 vt. 制成图表
18,choice,adj. 上等的，精选的 n. 选择，挑选
19,clear,adj. 清楚的，明确的，澄清的，头脑清醒的 vt. 澄清，清除障碍， 使明亮， 明确 vi. 变清晰， 消失， 放晴 adv. 清楚地， 一直 n. 间隙， 空地， 开旷的地方
20,close-up,n. 特写镜头，细致的观察
21,college,n. 学院， 学校，社团，枢机主教团
22,common,adj. 共同的， 平常的， 普通的 n. 平民， 普通， 公地， 公园
23,communication,n. 沟通，交通，沟通
24,complete,adj. 彻底的， 完整的， 已完成的 vt. 完成; 使圆满， 使完美
25,composition,n. 作文，著作，组织，合成物，成份
26,conference,n. 会议
27,congress,n. 国会；代表大会；会议；社交
28,culture,n. 文化，教养，种植 vt. 培养
29,daily,adj. 每日的， 按天计算的， 日常的 adv. 每日，天天 n. 日报， (复)工作样片
30,department,n. 部，部门，系
31,description,n. 描写， 描述， 说明书， 作图 n. 类型
32,detail,n. 细节，详情，部分，分派 vt. 详述，选派，用小元素装饰 vi. 画细节
33,dictation,n. 听写
34,distance,n. 距离， 远方， 路程 vt. 与 ... 保持距离， 把(对手)甩在后面 adj. 远程(教育)的
35,drama,n. 剧本，戏剧，戏剧性情节，刺激
36,editor,n. 编辑， 编者
37,education,n. 教育，培养
38,educational,adj. 教育的，有教育意义的
39,encyclopedia,n. 百科全书
40,enquiry,n. [计] 询问，[贸易] 询盘
41,equipment,n. 设备，装备
42,experiment,n. 实验，试验，尝试 vi. 做实验，尝试
43,expert,adj. 熟练的，内行的 n. 专家，能手 vi. 当专家
44,facility,n.设备； 容易； 能力； 灵巧
45,field,n. 领域；牧场；旷野；战场；运动场 vi. 担任场外队员 adj. 扫描场；田赛的；野生的 vt. 把暴晒于场上；使上场；(通常成功地)回答，处理(问题)
46,final,adj. 最后的 决定了的 n. 决赛，期末考试
47,form,n. 形式， 形状， 表格 v. 形成， 组成， 建立
48,formula,n.   公式，配方，规则；代乳品 adj. （赛车的）级的，方程式的
49,full-time,adj. 全部时间的，专任的
50,further,adj. 更远的 adv. 此外， 进一步地 v. 促进， 推动 vt. 促进
51,general,n. 一般，将军，大体 adj. 一般的，普遍的 v. 指挥，作...将军
52,global,adj. 全球性的， 全局的
53,guidance,n. 引导，指导，导航系统
54,guide,vt.引路； 指导； 操纵； 影响 n.指导者； 向导； 导游； 有指导意义的事物
55,habit,n. 习惯，习性；嗜好 vt. 使穿衣
56,headphone,n. 头戴式收话器， 双耳式耳机
57,higher,adj. 更高的
58,holiday,n. 假期，假日 vi. 度假
59,important,adj. 重要的，影响很大的
60,information,n. 信息， 情报， 新闻， 资料， 询问
61,infrastructure,n. 下部构造， 下部组织， 基础结构， 基础设施
62,institution,n. 机构，惯例，创立
63,intelligence,n. 理解力， 智力， 情报， 情报工作， 情报机关
64,international,adj. 国际的 n. 国际组织
65,investigator,n. 调查者， 研究者， 审查者
66,issue,n. 问题；流出；期号；发行物 vt. 发行，发布；发给；放出，排出 vi. 发行；流出；造成…结果；传下
67,jam,n. 果酱，拥塞之物，堵塞， 窘境 vt. &amp;vi. 挤，塞满，混杂
68,keyword,n. 关键字
69,lab,n. 实验室
70,laboratory,n. 实验室， 实验大楼
71,laptop,n. 便携式电脑， 笔记本电脑
72,lesson,n. 课，教训 vt. 给...上课，教训
73,list,n.清单，目录； 倾斜； 布边，布头； 狭条 vt.列出，列入； 把…编列成表； 记入名单内 vi.列于表上
74,marketing,n. 行销，市场营销
75,mass,n. 块，大量，众多 adj. 群众的，大规模的 v. 集中 n. pl. 群众，民众
76,material,n. 材料， 原料， 物质; n. 素材， 题材， 资料 adj. 物质的， 实体的; 身体上的， 肉体的 adj. 重要的， 关键的
77,medium,n. 媒体， 方法， 媒介 adj. 适中的， 中等的
78,meeting,n. 会议
79,microphone,n. 麦克风， 扩音器
80,modern,adj. 现代的，时髦的 n. 现代人，时尚人士
81,monologue,n. 独白，长篇大论，独角戏
82,monopoly,n. 垄断，专利， 独占，控制
83,music,n. 音乐，伴奏，美妙的声音
84,narrator,n. 叙述者(讲解员，播音员)
85,noticeboard,n.布告牌
86,nursing,n. 看护， 养育 动词nurse的现在分词
87,occupation,n. 职业
88,option,n.选择（的自由）； 选项； 选择权； 选择能力 vt.得到或获准进行选择； 调动球员
89,oral,adj. 口头的 n. 口试
90,parental,adj. 父母的
91,passage,n. 通道，走廊，一段文章，旅程 vi. 通过 vt. 通过
92,photo,n. 照片 vt. &amp;vi. 拍照 adj. 摄影的
93,planning,n. 规划；计划编制
94,point,n. 点， 要点， 尖端，细节，目标 vt. &amp;vi. 指出， 瞄准
95,practical,adj. 实际的，实用的，明智的 n. 实践考试
96,prepare,vt.准备； 预备（饭菜）； 配备； 使（自己）有准备 vt.&amp; vi.筹备，进行各项准备工作； 做好思想准备； 作出，制订； 锻炼（身体等），训
97,previous,adj. 在...之前， 先， 前， 以前的
98,priority,n. 优先权， 优先顺序， 优先
99,profession,n. 职业，专业，声明，信仰
100,public,adj. 公开的，众所周知的，公众的 n. 公共场合，公众，同好者
101,quality,n. 品质， 特质， 才能 adj. 高品质的
102,reader,n. 读者，读物， 读本
103,recommendation,n. 推荐， 介绍
104,resource,n. 资源，谋略，消遣
105,review,n. 检讨， 复习， 回顾， 评审 vt. 温习， 检讨， 评论， 检阅 vi. 写评论
106,royal,adj. 王室的，盛大的，极度的 n. 贵族，顶帆
107,rule,n. 惯例，规则，统治 v. 裁定，统治，支配 vi. 裁决，统治 vt. 统治
108,schedule,n. 时间表， 一览表， 计划 vt. 安排， 计划， 预定， 编制目录
109,school,n.学校，学院； 学业； 学派； 学科 vt.训练，锻炼； 教育，教导； 约束； 给…上学
110,secondary,adj. 中级的，中等的，次要的 n. 次要位置， 副手
111,sentence,n. 句子，意见，宣判，刑罚，命题 vt. 宣判，判决，使遭受
112,service,n. 服务， 公务部门， 服役， 发球， 发球方式 vt. 维护， 保养
113,signature,n. 签署，书帖，有特征的符号
114,similar,adj. 相似的，类似的，相同，一样
115,social,adj. 社会的，群居的，社团的
116,solve,v. 解答(难题)，解决 vt. 解答，解决
117,source,n. 来源
118,speaking,adj.发言的，能说的 动词speak的现在分词
119,specialized,专门的 专科的
120,speech,n. 演讲，对话，话语，语言
121,spiral,n. 旋涡， 螺旋形之物 adj. 螺旋形的， 盘旋的 v. 成螺旋状下降或上升， 成螺旋状旋转
122,standard,n.标准，规格； 旗，军旗； 度量衡标准； 直立支柱 adj.标准的，合格的； 普遍的，一般的； 公认为优秀的
123,style,n. 风格，时尚，字体 vt. 称呼，设计
124,submit,vt. 呈送， 递交， 主张 vt. 使服从， 屈服 vi. 屈从; 忍受
125,suggestion,n. 建议， 意见， 迹象， 暗示， 联想
126,support,n. 支持， 援助， 供养 vt. 支援， 帮助， 支持
127,survival,n. 生存，幸存者
128,system,n. 系统，体系，制度，体制
129,team,n. 队，组 vt. 协同工作 vi. 结成一队 adj. 团队的
130,technical,adj. 工艺的， 技术的
131,technique,n. 技术
132,text,n. 本文， 文件， 正文， 课文 vt. &amp;vi. 发短信
133,theatre,n. 剧场， 戏院
134,thinking,n. 思考， 思想 adj. 思考的， 有理性的 动词think的现在分词
135,thought,n.思想； 想法； 关心； 思索 v.想( think的过去式和过去分词)； 思索； 以为； 认为
136,trinity,n. 三位一体， 三人一组
137,understanding,n. 了解， 理解， 个人见解， 非正式协议， 谅解， 同情心， 洞察力 adj. 有同情心的
138,union,n. 联盟，结合，政党，工会，连接轴 adj. 联邦政府的，工会的
139,university,n. 大学
140,update,vt. &amp;vi. 更新，补充最新资料 n. 更新
141,vacation,n. 假期， 休假，腾出 vi. 度假
142,vocabulary,n. 词汇， 词汇量
143,vocation,n. 职业，行业，职务
144,wide,adj. 广泛的，宽阔的 adv. 广大地，全部地
