1,abstract,n. 摘要，抽象的东西 adj. 抽象的，理论的 vt. 移除，摘要，偷 vi. 做摘要
2,aid,n. 帮助，救护，辅助物 vt. &amp;vi. 援助，帮助，救护 abbr.=Agency for International Development 国际开发署[美]
3,ambition,n. 雄心，野心，抱负，精力 vt. 有...野心，追求
4,analysis,n. 分析， 解析
5,approach,n. 接近; 途径， 方法 v. 靠近， 接近， 动手处理
6,area,n. 地区， 区域， 面积， 方面
7,background,n. 背景，幕后，配音 vt. 提供背景
8,bibliography,n. (有关某一专题的)书目，参考书目
9,case study,范例分析
10,chapter,n. 章，回，篇，牧师的例行会议，地方分会
11,conclusion,n. 结论
12,content,n. 内容， 目录， 含量 adj. 满足的， 满意的 vt. 使...满足， 使...安心
13,data,n. (datum的复数)资料，数据
14,draft,n. 草稿，草图，汇票，徵兵 vt. 起草，征兵，选秀 adj. 酝酿中的
15,example,n. 榜样，例子 vt. 把...作为例子
16,extensive,adj. 广泛的，广阔的
17,faculty,n.能力，才能； 全体教职员； &lt;英&gt;（大学的）专科，系； 特权，特许
18,finding,n. 发现， 发现物，调查(或研究)的结果，[律] 裁判，裁决 (复数）findings：（珠宝商等使用的）零碎的工具或材料 find的现在分词
19,heading,n. 标题，题目，航向 动词head的现在分词
20,index,n.索引； &lt;数&gt;指数； 指示； 标志 vt.给…编索引； 把…编入索引； [经济学]按生活指数调整（工资、价格等） vi.[机械学]转位
21,interview,n.  面谈，访问，接见 vt. 接见，对...进行面谈(试) vi. 面试， 采访
22,laser,n. 激光
23,literature,n. 文学， 文献
24,method,n. 方法，办法，条理
25,objective,adj. 客观的， 目标的 n. 目标， 目的; 物镜 n. =objective case 宾语
26,observation,n. 观察，观察力，评论 adj. 被设计用来观察的
27,outline,n. 大纲，轮廓，概要，略图，素描 vt. 描画轮廓，描述要点
28,overhead,n. 经常开支，普通用费 adj. 在头上的，高架的 adv. 在头顶上，在空中，在高处 [计算机] 总开销
29,paper,n. 纸，文件，论文，报纸，票据 vt. 用纸包，供纸，仓促完成 vi. 贴壁纸 adj.纸制的，文书的，理论上的
30,presentation,n. 陈述， 介绍， 赠与 n. [美]讲课， 报告，学生在国外课上作的演讲
31,printing,n. 印刷， 打印，印刷术动词print的现在分词
32,project,n. 工程，项目，计划，事业 v. 计划，设计，表达 v. 投射，放映，凸出
33,questionnaire,n. 调查表
34,random,n. 随意，任意 adj. 任意的，随便的，胡乱的 adv. 随机地
35,reading,adj. 阅读的 n. 阅读
36,reference,n. 参考， 出处， 参照 n. 推荐人， 推荐函 vt. 提供参考
37,report,n. 传闻，报告，成绩单，爆炸声 vt. 报告，报导，记录 vi. 叙述，报告
38,research,n. 调查，研究 vt. &amp;vi. 调查，研究
39,respondent,adj. 回答的， 应答的， 感应的 n. 应答者， 被告，被调查者总称
40,review,n. 检讨， 复习， 回顾， 评审 vt. 温习， 检讨， 评论， 检阅 vi. 写评论
41,revision,n. 校订，修正，修订本 n. 复习，重温
42,scientific,adj. 科学的
43,script,n. 原稿，手稿，脚本 vi. 写剧本
44,strategy,n. 战略， 策略
45,subject,n. 科目， 主题; 缘由 n. (君主国)国民; 实验对象 adj. 服从的， 易患的 vt. 使隶属， 使服从; 使遭遇
46,subtitle,n. 副题(书本中的)， 说明或对白的字幕 vt. 给...加副标题，给...加字幕
47,subtopic,n. 小标题，副主题，要点
48,summary,n. 摘要，概要 adj. 摘要的，简略的
49,survey,n. 调查; 纵览， 视察， 测量 vt. 审视， 视察， 通盘考虑， 调查; 勘测 vi. 测量， 勘测
50,theory,n. 理论，原则，看法，推测
51,title,n. 头衔，名称，标题，所有权，资格，冠军 vt. 赋予称号，加标题于 adj. 标题的
52,topic,n. 题目， 话题， 主题
53,training,n. 训练
54,visual,adj. 视觉的 n. 画面， 图象
55,well-organized,adj. 组织良好的
56,whiteboard,n. 白色书写板
