1,administrator,n. 管理人，行政官
2,admission,n. 许可， 入会费， 承认
3,advanced,adj. 高级的， 先进的
4,assessment,n. 估价， 评估
5,assignment,n. 分配，功课，任务，被指定的(课外)作业;(分派的)任务， 委派
6,assistant,adj. 助理的；辅助的。 n. 助手助理；助教，店员
7,attendance,n. 出席，出席人数，出席率
8,beginner,n. 初学者，新手
9,beginning,n. 开始，开端，起源，早期 adj. 刚开始的 动词begin的现在分词
10,cassette,n. 匣子，录音带，盒式录音机
11,chancellor,n. 英大臣(使馆秘书， 首相)，校长（大学）
12,course,n. 课程， 讲座， 过程， 路线， 一道(菜)
13,curriculum,n. 课程，全部课程
14,deadline,n. (鉴于边上的)警戒线，最后期限，截止时间
15,diet,n. 日常饮食，规定饮食 vt. 照规定饮食 adj. 低卡路里的
16,diploma,n. 文凭
17,director,n. 董事，经理，主管，指导者，导演
18,discussion,n. 讨论 v. 讨论，商议
19,dropout,n. 中途退出者，辍学
20,elementary,adj. 基本的，初级的，元素的
21,enroll,vt. &amp;vi. 登记，使加入，卷起
22,exam,n. =examination 考试
23,failure,n. 失败，失败的人或事
24,feedback,n. 反馈，成果
25,fundamental,adj. 基本的，根本的，重要的 n. 基本原理，基础
26,goal,n. 目标，目的； 球门； 终点；
27,grade,n. 年级，成绩，分数，等级，级别  vt. 分级，记成绩
28,group,n. 团体，组，团 vt. &amp;vi. 聚合，成群 [计算机] 成组
29,headmaster,n. (中小学的)校长
30,historian,n. 历史学家，编史者
31,hit,n. 打(击)，冲撞，讽刺，成功.一次毒品的剂量，点击量，引人注意的东西，技巧 vt. 打(击)，碰撞，偶然发现，要求，符合 vi. 打(击)，袭击，达到
32,intensive,adj. 强烈的， 强化的，密集的， 精细的， 强调的 n. (语法)强调成份
33,lecture,vt. &amp;vi. 讲课， 教导 n. 演讲， 教训， 斥责
34,lecturer,n. 演讲者， 讲师
35,level,n. 水平，等级，标准，层次 adj. 平坦的，齐平的，稳定的，合理的，满满的 vt. 压平，使同等，瞄准，夷为平地，推翻， 指责 vi. 趋向平稳， 瞄准， 诚恳待人， 使平等
36,mark,n. 污迹， 标记， 分数， 烙印， 纪录 vt. 做标记于， 留意， 打分数， 留下污痕， 使...明显 vi. 做标志， 记分， 留下印记
37,mid,adj. 中间的，[语]央元音的 prep. 在 ... 的中间 abbr. 移动互联网设备 (=Mobile Internet Device)
38,note,n. 笔记， 注解， 备忘录， 音符， 音调， 票据， 便条， 纸币 vt. 记录， 注解， 注意
39,officer,n. 官员，军官 vt. 提供官员，指挥
40,orientation,n. 信仰，趋向，定位，适应，情况介绍，新生入学教育会 [计算机] 定向
41,panic,n. 恐慌，惊惶 adj. 惊慌的，没有理由的，恐慌的 vt. 使...惊慌
42,parental,adj. 父母的
43,practice,n. 练习， 实行， 习惯; 业务 vt. &amp;vi 练习， 实习， 开业
44,president,n. (国家)总统，(公司)总裁，总经理，社长(日本)，校长
45,professor,n. 宣称者，教授
46,rate,n. 比率， 等级， 价格 vt. 估价， 认为， 定等级; 责骂 vi. 受欢迎， 受推崇; 责骂
47,reception,n. 接待，招待会，接收，欢迎，接受
48,receptionist,n. 接待员
49,record,n. 记录，纪录，唱片 vt. 记录，(将声音等)录下，表明 adj. 关于
50,recording,n. 录音 动词record的现在分词
51,register,v. 记录， 登记， 注册， 挂号 n. 暂存器， 记录， 登记簿 n. (语)语域; 通风调节设备
52,resit,v. 重修，重考
53,scientist,n. 科学家
54,score,n.得分； 分数； 总谱； 20个 v.得分； 记分； 评分； 获得胜利
55,secretary,n. 秘书，部长，大臣，书记
56,semester,n. 学期
57,seminar,n. (大学的)研究班，研讨会
58,senior,n. 年长者，上司，毕业班学生 adj. 年长的，高级的，资深的
59,session,n.开会，会议；（法庭的）开庭； 会期，学期； （进行某活动连续的）一段时间
60,stress,n. 紧张， 压力 v. 强调， 着重 vt. 强调 n.负载
61,study,n. 学习，研究，学科，沉思，书房 vt. 读书，计划，研究，记忆，调查 vi. 学习，研究，沉思
62,supervisor,n. 监督人， 管理人， 检查员， 督学， 主管人，导师
63,surrounding,adj. 周围的 n. 环境， 周围的事物
64,tape,n. 录像带， 录音带， 磁带， 胶带 vt. 用带子捆起， 给...录音 vi. 录音
65,teaching,n. 教学， 教义 adj. 教学的 动词teach的现在分词
66,term,n.学期； 条款； 术语； 期限 vt.把…称为； 把…叫做
67,test,n. 测试， 试验 vt. 测试， 试验， 接受测验， 测得... adj. 测试的
68,tutor,n. 家庭教师，导师 vt. 监护，指导 vi. 当导师(私人教师)
69,tutorial,n. 个别指导 adj. 个别指导的
70,unemployment,n. 失业，失业人数
71,video,adj. 录像的 n. 录像(机) vt. 制作...的录像
72,videotape,n. 录像带 vt. 录像
73,virtual,adj. 虚拟的；有效的；实质上的，事实上的
