1,accident,n. 事故，意外的事
2,advance,n. 前进，进步，预支 vt. 前进，增涨，预先 vi. 前进，提升 adj. 预先的，提前的
3,advisable,adj. 明智的，可取的
4,agency,n. 代理，代理处，政府机构
5,allowance,n. 限额，定量 n. 津贴，零用钱
6,ancient,adj. 古代的，古老的 n. 古人， 古货币
7,ballroom,n. 舞厅
8,bank,n. 银行，堤，岸 vt. 堆积 vi. 开户， 把...存入银行
9,banquet,n. 宴会 vi. 宴请 vt. 宴会， 设宴
10,beach,n. 海滩 v. 拖(船)上岸 vt. 使船冲上滩
11,bicycle,n. 自行车 v. 骑自行车
12,bill,n.账单； 钞票； 清单； 广告 vt.安排； 给…开账单； 为…发提（货）单； 把…登录在账 vi.鸟嘴相接触
13,boat,n. 船， 船型物体 vt. 放于船上 vi. 划船
14,brochure,n. 小册子
15,brother,n. 兄弟， 同胞， 同事， 教友
16,bus,n. 公共汽车
17,cable,n. 电缆，海底电报，有线电视vt. 打海底电报，把...拧成缆，用缆捆住 vi. 打海底电报
18,capital,n. 首都，资本，大写字母 adj. 大写的，资本的，首要的
19,car,n. 小汽车， 车厢， 吊舱
20,card,n. 卡片，纸牌，名片，打牌，节目单 vt. 附上或提供卡片，印卡，在卡片上列出，检查资格
21,cash,n. 现金 vt. 兑现，付现款 adj. 现金的
22,castle,n. 城堡 vt. 置于城堡中，(棋)移动王车易位 vi. (棋)移动王车易位
23,cave,n. 山洞 v. (使)凹陷 vi. (in)塌落，倒坍
24,central,adj. 中心的，基本的，折中的，中枢的 n. 电话交流，中央办公室，中心
25,charge,n. 电荷， 指控， 费用; 照顾， 责任 vt. &amp;vi 控诉， 加罪于， 要价， 赊帐， 充电， 管理
26,check,vt.检查，核对； 制止，抑制； 在…上打勾 vi.核实，查核； 中止； 打勾； [象棋]将一军 n.&lt;美&gt;支票； 制止，抑制； 检验，核对
27,child,n.小孩，孩子； 幼稚的人； 产物； 弟子
28,church,n. 教堂，礼拜仪式，基督教徒 adj. 教堂的 vt. 把...带到教堂接受某种宗教仪式
29,class,n. 班级，(等)阶级，种类 vt. 分类
30,coach,n. 大巴， 教练; (火车)客车车厢， 四轮马车， 经济舱 vt. 训练， 指导 vi. 训练， 指导
31,coastal,adj. 海岸的，沿海的，沿岸的
32,commuter,n. 通勤者， 每日往返上班者
33,concert,n. 音乐会， 一致， 和谐 vt. 制定计划， 通过协商达成一致 vi. 合作
34,congestion,n. 混杂，拥挤，过剩 [计算机] 拥挤
35,cost,n.价钱，代价； 花费，费用； 牺牲； [用复数][法律]诉讼费 vi.价钱为，花费； 估计成本 vt.付出代价； 估价； 使丧失； 使付出努力
36,costly,adj. 昂贵的，代价高的
37,cottage,n. 村舍， 小屋
38,country,adj. 国家的， 农村的 n. 国家，乡村，区域
39,cover,n. 封面， 盖子， 表面 v. 覆盖， 涉及， 包含
40,credit,n. 信用， 荣誉， 贷款， 学分 v. 归功于， 赞颂， 信任
41,creek,n. 小湾， 小溪
42,currency,n. 货币; 流通
43,cycle,n. 循环，周期，长期，圈，套曲，自行车， vt. 环行，骑自行车 vi. 使环行
44,dam,n. 水坝 vt. 筑坝，抑制(情感）等
45,dangerous,adj. 危险的，引起危险的
46,date,n. 日期，约会，枣椰子 vt. 约会，定日期 vi. 追溯到 n.[计算机] DOS命令 : 显示或设置系统日期
47,debt,n. 债务， 义务， 负债状态， 罪， 过失
48,deposit,vt. 存放， 堆积， 使沉淀 vi. 沉淀 n. 存款， 定金， 堆积物
49,diary,n. 日记，日记簿
50,discount,n. 折扣， 贴现率 vt. 打折扣， 贴现， 不重视，不全信 vi. 贴现， 减息贷款
51,dollar,n. 美元
52,driver,n. 驾驶员， 司机
53,elder,adj. 年龄较大的， 年长的 n. 长者， 长辈
54,embassy,n. 大使馆，大使，外使团
55,emergency,adj. 紧急的 n. 紧急情况，突发事件
56,entertainment,n. 娱乐
57,entrance,n. 入口 v. 使出神，使入迷 vt. 使出神
58,evening,n. 傍晚， 晚上
59,excursion,n. 远足， 短途旅行
60,exhibition,n. 展览，展览会
61,expenditure,n. (时间、劳力、金钱等)支出，使用，消耗
62,expense,n. 消费，支出
63,express,n. 快车， 快递， 专使 adj. 急速的， 明确的， 直接的 adv. 用快递; 特意地 vt. 表达， 表示; 挤压出; 快递
64,extra,adj. 额外的 adv. 特别地 n. 额外的事物，另外收费的
65,family,adj. 家庭的 n. 家庭
66,fare,n. 费用，食物 v. 进展，进步，经营
67,feast,n. 宴会，酒席，节会 vt. &amp;vi. 款宴，享乐，请客
68,fee,n. 费用，封地
69,ferry,n. 渡船，渡口 vt. 摆渡，运输 vi. 摆渡
70,finance,n. 财政， 资金 vt. 给...提供资金， 负担经费
71,financial,adj. 金融的，财政的
72,flight,n.（物体的）飞行； 航班； 飞翔； 楼梯的一段 vi.成群地迁徙或飞行 vt.射击； 使惊飞
73,fortune,n. 财产，命运，运气
74,fossil,adj. 化石的 n. 化石，食古不化的人，过时的词
75,garden,n. 花园， 果园， 菜园， 草地 vi. 栽培花木， 从事园艺工作 vt. 造园， 以花园装饰 adj.花园的， 园艺的， 绿化的， 平凡的
76,grant,vt.承认； 同意； 准许； 授予 n.拨款； 补助金； 授给物（如财产、授地、专有权、补助、拨款等） vi.同意
77,hazardous,adj. 危险的，冒险的，碰运气的
78,height,n. 高度，高处，身高， 最高峰， 极点
79,helmet,n. 头盔， 遮阳帽， 盔甲
80,hike,n. 徒步旅行，远足，涨价 vi. 远足，提高 vt. 突然拉动或提高，涨...的价，徒步跋涉过
81,hiking,n. 徒步旅行
82,investment,n. 投资，投入，投资额
83,junction,n. 联接， 会合处， 交叉点
84,kid,n. 小孩， 小山羊， 小山羊皮制品 vi. (山羊，羚羊)生幼崽， 玩恶作剧 vt. 开玩笑， 哄骗， 嘲弄 adj. 相对年幼的
85,lake,n. 湖
86,landmark,n. 陆标， 划时代的事， 地界标
87,landscape,n. 风景，山水，风景画 v. 美化…的景观，进行造园工程
88,leisure,n. 闲暇；空闲；安逸 adj. 空闲的；有闲的；业余的
89,lender,n. 出借人， 贷方
90,light,n. 光，光线，灯，启发，众所周知的，通光口，眼光 adj. 轻的，不重要的，容易的，明亮的，淡色的 vi. 点燃，着火，变亮，下马，落下，碰巧发生 vt. 点燃，照亮 adv. 轻地，轻便的
91,loan,n. 贷款， 借出， 债权人 v. 借， 供应货款， 借给
92,location,n. 地点，位置
93,map,n. 地图 v. 映射，绘制...之地图，计划 [计算机] 存储区分配图
94,mileage,n. 公里数
95,money,n. 钱，财产，货币
96,mother,n. 母亲 adj. 母亲的，母体的 vt. 生育，像母亲一样关爱
97,motorcycle,n. 摩托车 v. 骑摩托车
98,mountain,n. 山，山脉，大量
99,museum,n. 博物馆
100,occasion,n. 场合，机会，理由 vt. 致使，惹起，引起
101,ocean,n. 海洋，大量
102,on sale,出售， 廉价出售
103,optional,adj. 可以任选的，非强制的
104,order,n.命令； 秩序； 规则，制度； 次序 vt.命令； 订购； 整理 vi.下订单
105,packer,n. 包装者(打包机，密垫)
106,pagoda,n. （尤指佛教或者印度教的）宝塔
107,palace,n. 宫殿 adj. 宫殿的，殿堂级的
108,parent,n. 父母，根源 vt. &amp;vi. 抚养，产生
109,park,n. 运动场，专业区，园区，公园，停车处 vt. 停车，放排放置于 vi. 停车
110,parking,n. 停车 adj. 停车的 vbl. 停车
111,party,n.社交聚会； 党，党派； 当事人； 同类，伙伴 v.为…举行社交聚会； 为…请客； 参加社交聚会 adj.政党的，党派的； 社交的，聚会的； 共有的，共同的
112,passenger,n. 乘客，旅客
113,passport,n. 护照
114,payable,adj. 可付的， 应付的， 有利益的
115,pension,n. 退休金，年金，抚恤金 v. 发给退休金
116,pensioner,n. 领养老金的人，靠补助金生活的人 n.
117,per,prep. 每，每一 adv.每人
118,person,n. 人
119,personnel,n.全体员工； （与复数动词连用）人员，员工； 人事部门
120,place,n. 地方，职位，获奖的名次 vt. 放置，任命，安排 vi. 获得名次
121,planner,n. 计划者，设计者
122,pocket,n. 口袋，钱，袋 vt. 装...在口袋里，隐藏，私吞 adj. 小型的，钱的
123,population,n. 人口
124,position,n. 位置， 职位; 状态， 立场 vt. 安置， 决定...的位置
125,postcode,n. 邮政编码
126,price,n. 价格，代价，价值 vt. 定格，标价，比较价格
127,prize,n. 奖品，珍品，战利品 vt. 重视 adj. 奖励的，杰出的
128,property,n. 财产; 性质; 道具
129,purse,n. 钱包， 资金，金钱，财富 v. 皱起，使缩拢
130,queen,n. 女王，王后，最重要的女子或事物，女冠军，女王蜂 vi. 立...为女王，当女王 vt. 成为女王或王后，以女王的身份统治 vt. 使卒子达底线变为王后取得纵，横，斜自由行走的资格
131,railway,n. 铁路 v. 由铁道运输
132,recreation,n. 消遣， 娱乐
133,refund,n. 偿还 vt. 付还，偿还借款，换回新公债
134,region,n. 地区，地域，地带，行政区
135,regulation,n. 规则， 规章， 管理 adj. 规定的， 官方的
136,rent,n. 租金 v. 租 vi. 出租 vt. 出租，租用
137,rental,n. 地租的，总额，地租收入 adj. 租借的，地租的
138,reserve,n. 预备品， 贮存， 候补 n. 克制， 含蓄 vt. 保留， 预订， 延期
139,return,n. 返回，归还，报答，报告 vt. &amp;vi. 返回，归还，回来 adj. 返回的
140,route,n. 航线，路线，途径 vt. 按路线发送， 改变路线
