1,accommodation,n. 住处，膳宿；调节；和解；预订铺位
2,address,n.地址； 通信处； 演说； 称呼 v.写姓名地址； 演说； 向…说话； 称呼
3,alarm,n. 警报，惊慌，警告，报警器 vt. 使...惊慌，警告， 装报警器
4,alley,n. 小路，巷，跑道，球道
5,alteration,n. 改变， 变更
6,altitude,n. 高度，海拔，高地
7,apartment,n. 一套公寓房间
8,art,adj. 美术(品)的，艺术(品)的 n. 艺术， 技术， 阴谋， 美术
9,available,adj. 可用的，可得到的，有用的，有效的
10,avenue,n. 林荫道， 大街， 途径手段
11,badge,n. 徽章，标记
12,basement,n. 根基，地下室 n.（新英格兰）特别指学校中的公厕
13,bath,n. 洗澡，洗澡水，浴盆，浴室，财政亏损，(复)游泳池 n. (Bath)巴斯(英国城市) vt. &amp;vi. 洗澡
14,bathroom,n. 浴室
15,bed,n. 床，河床，底层，基座 vt. 铺床，去睡觉，安置，发生性关系 vi. 铺床，去睡觉，铺层，躺平
16,bedroom,n.卧室，寝室 adj.&lt;美&gt;城郊住宅区的； 两性关系的，男女性爱的
17,blanket,n. 毛毯，覆盖物，排字版 vt. 用毯子裹，扑灭，挡风，覆盖，使包含 adj. 包含所有的，适用于所有情形的
18,block,n.块； 街区； &lt;英&gt;大楼，大厦； 障碍物，阻碍 vt.阻止； 阻塞； 限制
19,booklet,n. 小册子
20,building,n. 建筑物
21,cabinet,n. 橱柜，内阁 adj. 私人的
22,camera,n. 摄像机，照相机
23,camp,n. 露营，帐棚，训练营，做作 vt. &amp;vi. 露营，扎营，做作 adj. 做作的
24,chair,n. 椅子，席位，讲座，要职 vt. 上任，使担任（某事务）的主席，主持
25,city,n. 城市
26,code,n. 码，密码，法规，准则 vt. 把...编码，制成法典
27,community,n. 社区， 团体
28,conditioner,n. 调节装置，空调
29,construction,n. 建设，建造，结构，构造
30,cot,n. 小屋， 小吊床，鞘，护套 n. [英]幼儿床 abbr.(=cotangent) [数学]余切
31,cottage,n. 村舍， 小屋
32,countryside,n. 乡下， 农村
33,cream,n.乳霜； 精英； 奶油色； 乳脂，奶油 vt.把…搅成糊状（或奶油状）混合物； 彻底打败，狠揍
34,curtain,n. 窗帘，遮蔽物，幕 vt. 用窗帘装饰，遮蔽
35,decoration,n. 装饰， 装饰品
36,desk,n. 书桌
37,destination,n. 目的地，终点，景点
38,disturbance,n. 扰乱，骚动
39,door,n. 门
40,double,n. 两倍，复制品，替身，双重角色的演员，反转，双人房 adj. 两倍的，双重的，骗人的，加量的 adv. 两倍地，双人地，翻来覆去地，对折地 vt. 使加倍，对折，握紧，做替身 vi. 加倍，转身，兼任，替代演出
41,drawer,n. 抽屉
42,electric fan,n. 电扇
43,electricity,n. 电力；电流；强烈的紧张情绪
44,elevator,n. 电梯，飞机升降舵，斗式皮带输送机
45,flat,adj. 平坦的， 单调的， 扁平的 adv. 平直地， 干脆地 n. [英]公寓 vt. 变平 vi. 降调
46,foyer,n. 门厅， 休息室
47,fridge,n. 电冰箱
48,furniture,n. 家具
49,garage,n. 车库， 汽车修理厂 vt. 把...放入车库
50,girlfriend,n. 女朋友， 女性朋友
51,greyhound,n.灵缇（身细长、腿长、毛滑、善跑的大赛狗）；灰狗巴士，目前全美最主要的长距离巴士公司
52,ground,n. 土地，战场，场地，根据，背景 vt. 放在地上，使...搁浅，打基础 grind的过去式和过去分词
53,hall,n. 大厅， 礼堂
54,heater,n. 加热器， 火炉， 加热之人
55,heating,adj. 加热的， 供暖的 n. 加热， 供暖， 暖气装置 动词heat的现在分词
56,high-rise,adj. (建筑物)超高层的， 高楼的 n. 高楼， 大厦
57,hoover,n. 胡佛(姓氏），真空吸尘器(商标名)
58,hotel,n. 旅馆，宾馆，酒店，饭店
59,house,n. 房子，住宅，全家人，议院 vt. 提供住，安置， 收容 vi. 居住， 躲避
60,incoming,adj. 即将到来的，刚开始的 n. 进来， 收入（通常复数）
61,insurance,n. 保险
62,isolated,adj. 分离的，孤立的
63,key,adj. 主要的，关键的 n. 钥匙，关键，答案，按键，音调 vt. 上锁，调节，提供解答，键入 vi. 使用钥匙
64,lamp,n. 灯， 发光或反射光的天体， 灵光
65,landlady,n. 女房东
66,landmark,n. 陆标， 划时代的事， 地界标
67,letter,n.信； 证书，许可证； 字母，文字； 字面意义 vt.用字母标明； 写字母于； 加标题 vi.写印刷体字母
68,lift,vt. 举起；提升；鼓舞；空运；抄袭 vi. 消散；升起；耸立 n. 电梯；举起；起重机；搭车
69,lock,n.锁； 水闸，船闸； （机器部件等的）锁定； 一把，一撮 vt.锁上； 锁好，关好； 使固定； 隐藏 vi.卡住，不动； 纠结； 僵硬不动
70,lounge,n. 休闲室，休息室，长沙发 vt. &amp;vi. 闲荡， 闲散地度过， 混日子
71,mail,n. 邮件，邮政 vt. 邮寄
72,microwave oven,微波炉
73,motel,n. 汽车旅馆
74,neighbouring,adj. 接壤的， 邻近的 动词neighbour的现在分词形式 =neighboring(美)
75,occupant,n. 占有者， 拥有者，占领者，居住者
76,outskirts,n. 郊区 名词outskirt的复数形式
77,phone,n. 音位，电话，耳机 vt. &amp;vi. 打电话
78,postcode,n. 邮政编码
79,private,adj. 私人的，隐蔽的 n. 士兵，列兵
80,pump,n. 抽水机， 打气筒， 心脏， 抽水， 轻软舞鞋 vt. 抽水， 打气， 用泵输送， 盘问， 涌出 vi. 用泵抽水， 快速上下(或内外)运动
81,radiator,n. 暖气片， 散热器，辐射体
82,radio,n. 收音机，无线电 vt.&amp; vi. 用无线电通讯
83,remark,n. 备注，评论，注意 vt. 评论，注意，述及
84,reservation,n. 预定，保留意见
85,residence,n. 住处， 住宅， 居住
86,resident,adj. 居住的 n. 居民，旅客
87,road,n. 路
88,roommate,n. 室友
89,rural,adj. 农村的
90,scale,n. 鳞， 刻度， 衡量， 数值范围 v. 依比例决定， 攀登
91,settlement,[建]沉降; 解决， 结算，殖民(地)， 租界; 居留地; 新建区; 住宅区
92,share,n. 部份，股份，分担，犁头 vt. 分享，共有，分配 vi. 分享
93,sheet,n. 床单，张，片 vt. 盖上被单，遍布， 使成片状 vi. 成片落下或流动 adj. 片状的
94,shower,n. 阵雨，淋浴 vi. 倾盆而下，淋浴 vt. 淋湿，下骤雨，使(大量东西)落在某人身上
95,size,n. 尺寸， 大小 vt. 按大小排列(或分类) adj. 一定大小的 vt. 用...填充(某物)
96,smoke,n. 烟， 无常的事物， 抽烟 v. 吸烟， 以烟熏， 冒烟
97,sound,vt. 听（诊）；测量，测…深；使发声；试探；宣告 n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 adj. 健全的，健康的；合理的；可靠的；有效彻底的 adv. 彻底地，充分地 vi. 听起来；发出声音；回响；测深
98,speaking,adj.发言的，能说的 动词speak的现在分词
99,spot,n. 污点， 地点， 斑点; 职位 adj. 当场的， 现实买卖的 v. 使沾上污点， 认出， 用灯光照射
100,street,n. 街道 adj. 街道的
101,suburb,n. 郊区
102,suite,n. 随员， 套房， 一组
103,table,n. 桌子， 平地层， 石板， 表格  vt. 搁置， 嵌合， 制表  adj. 桌子的
104,toaster,n. 烤面包机
105,toilet,n. 厕所， 卫生间 n. 梳洗打扮，礼服，创口洗涤 vi. 打扮，使用厕所 vt. 穿衣服，帮助孩子或病人使用厕所
106,towel,n. 毛巾 v. 用毛巾擦 vt. 用毛巾擦或擦干
107,track,n. 小路， 跑道， 轨道， 踪迹; 惯例， 常规 v. 跟踪， 追踪
108,tube,n. 地铁，电子管，显像管，管，软管;电视
109,tunnel,n. 隧道，地下道 v. 挖隧道
110,vacuum,n. 真空，空间，真空吸尘器 adj. 真空的，产生(利用)真空的 vt. &amp;vi. 用吸尘器打扫
111,village,n. 村庄
112,wall,n. 墙壁，垣，绝境 vt. 堵塞， 分割， 用墙围住， 演戏般地转动(眼睛) vi. 演戏般地转动(眼睛)
113,warm,adj. 暖和的，快要发现的，热心的，新鲜的 vt. &amp;vi.(使)变暖，（使）变得更友好， 加温 adv. 温暖地
114,washing machine,洗衣机
115,window,n. 窗户
116,wing,n. 翅膀，翼，配楼，厢房 vt. 给...装上翼，飞行 vi. 飞行
