1,activity,n. 活动；行动；活跃
2,air,n. 空气，旋律，气氛，态度 vt. &amp;vi. 晾干，使通风，广播
3,atmospheric,adj. 大气的，大气层的，制造气氛的
4,badminton,n. 羽毛球
5,bowling,n. 保龄球
6,carbon,n. 碳，灯芯，复写纸
7,care,n. 小心，照料，忧虑，慎思，焦虑因素 vi. 关心，照顾，喜爱 vt. 介意，希望 abbr.=Cooperative for American Remittances to Europe 汇款到欧洲合作社
8,centigrade,adj. 分为百度的，摄氏的
9,club,n. 击棍，扑克牌中的梅花，俱乐部 vt. 用棍棒打，集合 vi. 集合，分担花费，泡夜总会
10,consultant,n. 顾问， 咨询专家
11,contaminant,n. 杂质(污染物质，沾染物)
12,cycling,n. 骑自行车
13,damage,n. (pl.)赔偿金，损坏，毁坏 vt. 损害，毁坏
14,dioxide,n. 二氧化物
15,drop-off,n. 急下降， 直下降，陡坡
16,exercise,n. 练习，作业，运动 vt. 运用 vi. 锻炼
17,fiber,n. 纤维(物质)，力量
18,fitness,n. 适合度（生物学术语） n. 健康
19,garbage,n. 垃圾， 食物残渣， 废物
20,green,adj.绿色的； 未熟的，青春的； 未成熟的； 主张保护环境的 n.绿色蔬菜； 绿色的衣服； 植物 vi.绿化，使重视环境保护问题
21,gym,n. 健身房，体育馆，体育课
22,hall,n. 大厅， 礼堂
23,handle,n. 柄，把手 vt. 买卖，处理，操作 vi. 驾驭
24,impact,n. 冲击(力)， 冲突， 影响(力) vt. 挤入， 压紧; 撞击; 对...发生影响
25,influence,vt. 影响， 感化 n. 影响力， 势力; 影响， 权势 n. 有影响的人(或事物)
26,instructor,n. 教师，讲师，指导书
27,judge,vt.&amp; vi.审判，评判； 断定 vt.估计； 评价； （尤指）批评； 想，认为 n.法官； 裁判员； 评判员； 鉴定人
28,martial,adj. 军事的， 战争的，武术的
29,membership,n. 成员资格，会员全体，从属关系
30,muscle,n. 肌肉 vt. 用力挤 vi. 用力进行
31,nature,n.自然，自然界，自然状态; 本性，天性，性质; 质; 性格; 性; 本质
32,organic,adj. 器官的，有机的，根本的，接近自然的 n. 有机物质
33,personal trainer,个人健身教练
34,plastic,adj. 塑料的， 可塑的， 体态好的 n. 塑料，(外科)整形的，信用卡
35,pollution,n. 污染， 污染物
36,recycle,vt. 使再循环，再利用，再制 vi. 循环 n. 再循环
37,referee,n. 仲裁人，调解人，裁判员 vt. &amp;vi. 仲裁，裁判
38,rubbish,adj. 毫无价值的 n. 废话，垃圾，废物
39,sewage,n. 脏水， 污水
40,sewer,n. 下水道， 阴沟， 裁缝师
41,skating,n. 溜冰 动词skate的现在分词
42,skiing,n. 滑雪， 滑雪术
43,sport,n. 运动，游戏，娱乐，玩笑，大度的人 adj. 运动的，休闲的 vt. &amp;vi. 游戏，戏弄，炫耀
44,sportsman,n. 运动员
45,temperature,n. 温度，发烧
46,tennis,n. 网球
47,umpire,n. 裁判员， 仲裁人 vt. 为...裁决/仲裁 vi. 裁判，仲裁
48,warming,n. 加温， 暖和 adj. 暖和的， 热身的 动词warm的现在式和现在分词形式
49,waste,vt. 浪费， 使瘦弱， 逐渐消耗 vi. 挥霍， 规模缩小， 大伤元气 adj. 荒芜的， 未开垦的， 废的 n. 浪费， 废料， 垃圾， 荒漠， 凄凉的景象
50,weight,n. 重量，体重，重担 vt. 使...负重， 使倾斜
51,yoga,n. 瑜珈
