1,accountant,n. 会计人员
2,action,n. 起诉，行为，作用，情节，活动
3,agriculture,n. 农业
4,business,n. 商业，生意，事务
5,clean,adj. 干净的， 正当的， 纯洁的， 完全的， 精准的， 空的 adv. 完全地 n. 清洁 vt. &amp;vi. 打扫，清扫
6,cleaner,n. 清洁工， 清洁工具 （复数）cleaners:干洗店
7,colleague,n. 同事
8,commission,n. 委任(状)， 任官令; 委员会 n. 佣金; 犯罪行为 vt. 委任， 委托; 使服役
9,company,n. 同伴，客人，一群，连队，公司 vt. 陪伴 vi. 联合
10,contact,v. (与)联系， (与)接触 n. 接触， 联系; 联系人
11,cooperation,n. 合作， 协作
12,cop,n. 管纱，警察 vt. 采用，抓住
13,corporation,n. 公司， 法人， 集团
14,council,n. 理事会，委员会， 商议
15,crime,n. 犯罪， 羞耻， 罪行
16,customer,n. 顾客，家伙
17,director,n. 董事，经理，主管，指导者，导演
18,employ,vt. 使用， 雇用， 使忙于  n. 使用， 雇用
19,engine,n. 发动机， 引擎， 机车， 火车头 vt. 装引擎
20,extension,n. 延长，扩充，范围，分机号码
21,factory,n. 工厂， 制造场所
22,farm,n. 农场，农田 vt. 务农 vi. 务农
23,farming,n. 耕作 动词farm的现在分词
24,firm,n. 商行，公司 vt. (使)变得坚实，定案 vi. 变硬，恢复 adj. 坚定的，坚固的，结实的 adv. 稳固地，坚定地
25,fishing,n. 钓鱼，渔场，渔业
26,flexible,adj. 灵活的，易弯曲的，柔韧的，可变通的
27,forest,n. 森林，园林，林火 vt. 用树林覆盖， 植树
28,growth,n. 生长， 增长， 生长物
29,industrial,adj. 工业的，产业的 n. 工业公司
30,industry,n. 工业，产业，勤勉，刻苦
31,manager,n. 经理
32,market,n. 市场，交易，推销地区 vt. 在市场上交易，使...上市 vi. 在市场上买卖
33,natural,adj.自然的； 物质的； 天生的； 不做作的 n.自然的事情； （生来的）白痴； [乐]（风琴等的）白键
34,organization,n. 机构，组织 adj. 有组织的
35,payment,n. 支付， 付款
36,police,adj. 警察的 n. 警察，警方 v. 管辖
37,position,n. 位置， 职位; 状态， 立场 vt. 安置， 决定...的位置
38,power,n. 力量， 权力，电力 vt. 供电，激励，全速前进 adj. 与力量有关的，与权力有关的，电力控制的
39,product,n. 产品，成果，乘积
40,recruit,n. 招聘，新兵，新成员 vt.&amp;vi. 恢复，补充，徵募
41,regular,adj. 有规律的，有规则的，整齐的，正规的
42,role,n. 角色，影响程度
43,salary,n. 薪水 vt. 给...薪水
44,shift,n. 交换，变化，移动，接班者 vt. 更替，移转，变声 vi. 改变，定责，更衣
45,staff,n.参谋； 全体职员； 管理人员； 权杖 adj.行政工作的； 参谋的； 职员的； 作为正式工作人员的 v.在…工作； 为…配备职员； 任职于
46,subcommittee,n. 委员会的附属委员会， 小组委员会
47,syndicate,n. 企业联合 v. 联合组织
48,telephone,n.电话； 电话机； （电话机的）话筒； 受话器 vt.&amp; vi.以电话传送（消息），给（某人）打电话； 用电话与（某人）交谈
49,trip,n. 旅行，摔倒，差错，轻快的步伐 vt. 使跌倒，使犯错，使失败，起锚，竖帆 vi. 轻快地走，绊倒，失误，结巴，旅行
50,vacancy,n. 空白， 空缺
51,velvet,n. 天鹅绒，[俚语]赌博赢的钱；意外的赢利(或收益) adj. 天鹅绒的
52,violence,n. 暴力，狂热
53,welfare,n. 福利，社会保障，幸福 adj. 福利的
54,wetland,n. 沼泽地，湿地
55,wind,n. 风，气流，风向，管乐器，动向，潮流，空想， 卷绕，一圈 vt. 上发条，缠绕，蜿蜒，使...喘气，使...通风，吹奏 vi. 卷曲， 吹响号角， 迂回
