1,barbecue,n. 烤肉 v. 烤肉
2,buffet,n. 打击， 饮食柜台， 自助餐  vt. 打击， 连续猛击  adj. 受到非正式接待的(如同冷餐会般随意的)
3,burger,n. 汉堡包
4,cafe,n. 咖啡馆，小餐馆
5,cafeteria,n. 自助餐厅 adj. 有多种选择的
6,canteen,n.小卖部； 食堂，小饭馆； 水罐； 餐具盒，炊具箱
7,catering,n. 给养
8,cheese,n.奶酪； &lt;俚&gt;微笑 vt.&lt;俚&gt;停止
9,coffee,n. 咖啡
10,cola,n. 可乐
11,cooking,adj. 烹饪的 n. 烹饪 动词cook的现在分词
12,cup,n. 杯子 v. (使)成杯形 vt. 使成杯形
13,cutlery,n. 刀具，刀具业
14,dairy,adj. 牛奶的  n. 牛奶场， 乳品店， 乳制品
15,desert,n. 沙漠，荒地，应得(的惩罚或奖励)adj. 沙漠的，荒凉的vt. 遗弃vi. 擅离职守
16,dessert,n. 甜食
17,dinner,n. 主餐， 晚餐， 晚宴
18,dish,n. 盘碟，菜肴，凹形 vt. 装盘，提出，揭露，挖空 vi. 闲谈
19,drinking,n. 喝，喝酒
20,eating,adj. 食用的，可食的 n. 吃，食物 动词eat的现在分词形式
21,fish,n. 鱼，鱼肉 v. 钓鱼，捕鱼
22,flour,n. 面粉 vt. &amp;vi. 研成粉末
23,food,n. 食物
24,fruit,n. 水果 vt. &amp;vi. 结果实
25,hot dog,n. 热狗(红肠面包)
26,juice,n. 细胞液，内在本质，汽油，果汁，唾液， 体液 vt. 加液体，榨出...的汁液
27,kitchen,n. 厨房
28,meal,n. 膳食，一餐，谷物粗粉 vi. 进餐
29,meat,n. 肉，主要或重要部分
30,milk,n. 奶， 乳状物 v. 挤乳， 产乳
31,mineral,adj. 矿物的 n. 矿物， 矿石
32,nut,n. 坚果，螺母， 螺帽，难对付的人(事) vi. 采坚果
33,nutrition,n. 营养
34,picnic,n. 野餐，愉快的时间，猪脊肉 vi. 野餐
35,pizza,n. 比萨饼
36,protein,adj. 蛋白质的 n. 蛋白质
37,refreshment,n. 恢复，精神爽快，提神之事物；点心，茶点
38,restaurant,n. 餐馆，饭店
39,rice,n. 稻，饭，米
40,salad,n. 色拉，凉拌生菜，杂烩
41,salt,n.盐； 风趣； 机智，讽刺； 药用盐，泻盐 vt.撒盐； 用盐渍； 加盐以调味； 为…增加趣味 adj.含盐的； 有咸味的； 盐渍的
42,sandwich,n. 三明治 vt. 插入，夹在中间
43,sauce,n. 调味汁，酱汁，无礼的话(或举动) vt. 给...调味，使...增加趣味，无礼
44,seafood,n. 海产食品，海味
45,smelly,adj. 有使人难受的气味的，臭的
46,snack,n. 小吃，点心 v. 吃零食，吃点心
47,spoon,n. 匙，匙形的铲子  vt. 以匙舀起
48,starter,n. 起动机，发射架， 开端，发起者， 调度员，（竞赛的)参加者，（起跑或开车)发令员，开胃菜
49,steak,n. 牛排
50,sugar,n. 糖 vt. 使甜，使具有吸引力 vi. 形成糖状，变成颗粒状，造枫糖浆
51,tea,n.茶.茶叶.茶树.茶点 vt.给.....沏茶 vi.喝茶.进茶点
52,tomato,n. 西红柿
53,utensil,n. 器具， 用具
54,vegetable,adj. 蔬菜的， 植物的 n. 蔬菜
55,vegetarian,n. 素食者 adj. 素食的
56,vinegar,n. 醋
57,water,n. 水，雨水，海水，潮汐，海域 vt. 浇水，给水喝，给…供水，给（饮料等）掺水 vi. 形成水，喝水
