1,anatomy,n. 解剖学， 解剖学专著，分解，解剖，骨骸
2,anecdotal,adj. 逸话的， 多逸事趣闻的， 轶事一样的
3,anniversary,n. 周年纪念(日)
4,appalling,adj. 令人震惊的， 可怕的 动词appall的现在分词形式
5,apparatus,n. 装置， 器具， 机构， 组织
6,apparently,adj. 显然，似乎 adv. 显然
7,appliance,n. 器具，器械，装置，应用
8,appraisal,n. 估计，估量，评价
9,apprentice,n. 学徒 v. 使当学徒
10,approval,n. 批准， 认可， 同意， 赞同
11,apt,adj. 恰当的；有…倾向的；灵敏的
12,aptitude,n. 才能，资质
13,arable,adj. 可耕的， 适合种植的
14,arbitrary,adj. 任意的， 专制的， 武断的， 霸道的
15,arch,n. 拱门，弓形 vt. 使成弓形弯曲， 拱起 vi. 成弓形， 用拱连接 adj. 主要的，调皮的
16,arena,n. 竞技场
17,arguably,adv. 可论证地，可辩论地
18,array,n. 数组，(陈)排列，大批，一系列 vt. 排列，布署，打扮
19,arrogant,adj. 傲慢的， 自大的
20,artefact,n. 人工制品， 假象 =artifact(美）
21,articulate,adj. 有关节的，发音清晰的 vt. &amp;vi. 以关节连接，接合，明白地说
22,artistic,adj. 艺术的
23,ascertain,vt. 确定，探知，查明
24,aspiring,adj. 积极追求的，有抱负的
25,assert,vt. 主张，声明，断言
26,assertive,adj. 断定的，过分自信的
27,asset,n. 资产，有用的东西，优点，长处
28,assimilate,v. 使同化，吸收 n. 被同化的事物
29,assure,vt. 保险，保证，确信，担保
30,astronomer,n. 天文学家
31,asymmetry,n. 不对称
32,athletic,adj. 运动的，活跃的，健壮的
33,attainment,n. 达到，获得 （常复数）attainments:成就，才能，学识
34,auction,n. 拍卖 vt. 拍卖
35,audacious,adj. 大胆的，放肆的，无礼的，厚颜无耻的
36,audio-visual,adj. 视听的
37,audition,n. 听， 听力， 试听 vi. 试演，试唱，试音  vt. 对（某人）面试；让（某人）试演（或试唱、试音）
38,authentic,adj. 可靠的，可信的，真的，真正的
39,authoritative,adj. 权威性的， 命令式的
40,authorize,v. 授权与，批准，委托代替
41,autonomy,n. 自治
42,awareness,n. 认识(了解，知道)
43,bound,n. 跳跃，界限，范围 adj. 必定的，受约束的，装订的，有义务的 vt. 跳跃前进，形成界限
44,boycott,vt. 抵制（贸易），拒绝参加
45,brainstorm,v. 集体自由讨论 vi. 动脑筋，出主意，想办法，献计献策 vt. 集思广益以寻找(解决难题的方法等)
46,breach,n.  裂口，违背， 冲击， 决裂 vt. 违反，在...上打开缺口， 突破 vi. 跃出水面
47,breakthrough,n. 突破
48,breakup,n. 断开(缺口，破裂，分解，馏分组成，停止)
49,breeding,n. 生养，教养，抚养，繁殖，血统，育种 breed的现在分词
50,brink,n. 边缘，边沿，界限
51,brochure,n. 小册子
52,browse,vt. &amp;vi. 浏览， 随意观看， 吃草 n. 浏览， 嫩叶
53,brunt,n. 正面的冲击， 主要的压力
54,bulky,adj. 庞大的，笨重的，肥大的
55,bungalow,n. (有凉台的)平房， 小屋
56,buoyant,adj. 有浮力的， 心情愉快的，趋于上涨的
57,bureaucracy,n. 官僚制度， 官僚主义
58,burgeon,n. 芽， 嫩枝 v. 萌芽， 发芽
59,buzzword,n. 流行词
60,by and large,adv. 总的来说(从各方面来看，大体上，基本上，全面地)
61,byproduct,n. 副产品
62,condense,v. 浓缩， 摘要， 缩短
63,condition,n. 情况， 条件 v. 以...为条件， 决定， 支配， 训练
64,conducive,adj. 有助于...的
65,confess,v. 承认， 告白， 忏悔
66,confidential,adj. 机密的，获他人信赖的，易于信任他人的
67,congestion,n. 混杂，拥挤，过剩 [计算机] 拥挤
68,conjunction,n. 连词， 结合， 关联，(事件等的)同时发生
69,conscientious,adj. 审慎正直的，认真的，本着良心的
70,consecutive,adj. 连续的，连贯的
71,consensus,n. 共识，一致，合意 n. [生理]交感
72,consequently,adv. 所以， 因此
73,conservation,n. 保存， 防止流失， 守恒， 保护自然资源
74,considerate,adj. 考虑周到的，体谅的
75,consideration,n. 考虑， 体贴， 考虑因素， 敬重， 意见
76,consistent,adj. 始终如一的， 一致的， 坚持的
77,consolidate,v. 巩固，联合，统一 [计算机] 使固定
78,conspicuous,adj. 显著的，显而易见的， 显眼的
79,constraint,n. 约束， 强制， 约束条件， 对感情的压抑， 虚情假意 [计算机] 限制
80,consultant,n. 顾问， 咨询专家
81,consumerism,n. 用户至上主义， 商品的消费和销售性服务
82,container,n. 容器， 集装箱
83,contaminate,vt. 弄脏，污染
84,contemplate,vt. 注视，沉思，打算
85,contempt,n. 轻视，轻蔑
86,contend,vi. 奋斗，斗争，辩论 vt. 坚持认为，竞争
87,contention,n. 争论， 争辩， 所持的论点 [计算机] 线路争夺
88,contingent,adj. 或许会或不会发生的，附随的，暂时的 n. 偶然的事情，份儿，分遣队
89,continuous,adj. 连续的， 继续的， 连绵不断的
90,contradict,vt. 反驳，与...矛盾
91,contribution,n. 贡献，捐款(赠)
92,contrive,vt. 1. (不顾困难地)促成某事2. 巧妙地策划；精巧地制造（如机器） vi. 1. (不顾困难而) 设法做到(正式)
93,control group,n. 控件组， 对照组
94,controversial,adj. 引起争论的，有争议的
95,controversy,n. (公开的)争论，争议
96,convenience,n. 适宜，便利， 便利设施，方便的时间，舒适
97,conviction,n. 定罪， 信服， 坚信
98,coordination,n. 同等，调和
99,coordinator,n. 协调者，同等的人或物 [计算机] 协调程序
100,correlate,n. 有相互关系的东西， 相关物  v. 使有相互关系， 互相有关系
101,corridor,n. 走廊
102,corrupt,adj. 腐败的，堕落的 vt. 使...恶化，贿赂，使...腐烂 vi. 腐烂，堕落
103,cosmopolitan,adj. 世界性的， 久经世故的
104,counter-productive,adj. 产生相反结果的，事与愿违的
105,counterpart,n.  职位（或作用）相当的人；对应的事物
106,coupon,n. 试样(配给票， 息票， 附单)
107,courageous,adj. 勇敢的
108,courteous,adj. 有礼貌的，殷勤的
109,craftsman,n. 工匠， 技工， 手艺人
110,crash,v. 撞碎， 猛使...破碎， 迫降，发出巨响 n. 轰隆声， 猛撞， 崩溃， 破产， 垮台 adj. 速成的 n. 粗布
111,creativity,n. 创造力， 创造
112,credibility,n. 可信用， 确实性， 可靠
113,crew,n. 全体船员， 全体乘务员 vi. 一起工作
114,cripple,n. 跛者， 残废 v. 使...跛， 使...成残废， 削弱
115,criterion,n. 标准， 准则
116,crown,n. 王冠，王权，顶点，花冠 vt. 使...成王，加冕，居...之顶，为牙齿镶上假齿冠 vi. 火迅速烧到树的顶端
117,cue,n. 字母Q，信号，线索，球杆 vt. 暗示，用球杆打球 vi. 使用球杆
118,cuisine,n. 烹饪，佳肴
119,culminate,v. 达到顶点或高潮， 以...告终 vi. 达到顶点 vt. 使达高潮， 使结束
120,cultivate,vt. 培养，耕作，栽培，结交(朋友)， 促进增长， 教养
121,curb,n. 抑制，勒马绳，边石，路缘 vt. 抑制，束缚， 牵(狗)到合适地方大小便
122,curriculum,n. 课程，全部课程
123,curtail,vt. 缩减， 削减，截短
124,cutlery,n. 刀具，刀具业
125,cynical,adj. 愤世嫉俗的，吹毛求疵的
126,discharge,vt. &amp;vi. 放出，解雇，放电，解除， 清偿债务 n. 释放，卸货，放电，一股，一阵，开火，发射，准许离开
127,discourse,n. 谈话，演讲 vi. 谈话，讲述 vt. 叙述，讨论
128,discreet,adj. 谨慎的
129,discrepancy,n. 相差，差异，差别
130,discrete,adj. 不连续的 离散的 [计算机] 分离 离散
131,discretion,n. 谨慎，判断力，个人选择，选择的自由 [计算机] 判定
132,discrimination,n. 歧视， 辨别力， 识别
133,disillusion,n. 觉醒，幻灭 vt. 醒悟，使幻想破灭
134,disintegrate,v. (使)粉碎，(使)碎裂，解体，瓦解 vt. 瓦解，崩溃
135,dismantle,vt. 拆除，剥除，分解，取消
136,disparity,n. 不一致
137,dispose,vt. 倾向于，处置 vi. 销毁
138,disproportionate,adj. 不成比例的
139,disseminate,vt. 散播， 公开， 宣传
140,distinction,n. 区别; 卓越; 殊荣
141,distinctive,adj. 有特色的，出众的
142,distraction,n. 娱乐，分心的事物，分心
143,distribution,n. 分发， 分配， 散布， 分布
144,diversify,v. 使成形形色色， 使多样化， 使变化
145,diversity,n. 多样化，（人在种族、民族、宗教等方面的）多样性； 差异； 分歧 vt. 使不同，使多样化
146,divert,vt. 转移，使欢娱 vi. 转移
147,divine,adj. 神的，神圣的 vt. 推断 vi. 预言，理解 n. 牧师，神学家
148,division,n. 区分，分开，除法，公司，部门，师（军队里）
149,dizzy,adj. 晕眩的， 傻的， (速度)极快的， 困惑的 vt. 使困惑， 使晕眩
150,documentary,adj. 文献的 n. 纪录片
151,documentation,n. 文件
152,domain,n. 领域 [计算机] 域
153,dominant,adj. 占优势的，主导的，显性的 n. 主宰者
154,doom,n. 命运，不幸，宣告，判决 vt. 命中注定，宣告
155,drastic,adj. 激烈的，猛烈的，极其严重的
156,dreadful,adj. 可怕的
157,dropout,n. 中途退出者
158,drought,n. 干旱
159,dub,v. 把...戏称为，给...起绰号
