1,amateur,adj. 业余(爱好者)的 n. 业余爱好者，外行
2,amazing,adj. 令人惊异的
3,athlete,n. 运动员
4,blend,vt. &amp;vi. 混合 n. 混合物
5,community,n. 社区， 团体
6,commute,vi. 交换，通勤，折偿 vt. 交换，减刑，改变付款方式 n. 乘车上下班，通勤
7,destroy,vt. &amp;vi. 破坏，毁坏 [计算机] 撤消
8,detail,n. 细节，详情，部分，分派 vt. 详述，选派，用小元素装饰 vi. 画细节
9,detect,vt. 发现，探测信息，侦查 vi. 当侦探
10,entity,n. 存在，实体
11,environment,n. 环境，外界
12,fetch,n. 取得 vt. 取来，带来，航行到达 vi. 取回，兜圈子
13,fiction,n. 小说，虚构
14,framework,n. 结构， 框架， 参照标准， 体系
15,fraud,n. 骗子， 欺骗， 诈欺
16,herd,n. 兽群，人群，牧人 vt. 群集，使...成群，放牧 vi. 聚在一起
17,inevitable,adj. 不可避免的， 必然(发生)的
18,infant,adj. 婴儿的， 幼稚的， 初期的 n. 婴儿， 幼儿
19,lift,vt. 举起；提升；鼓舞；空运；抄袭 vi. 消散；升起；耸立 n. 电梯；举起；起重机；搭车
20,minimal,adj. 最低限度的，最小的
21,minimum,adj. 最低的， 最小的 n. 最小量， 最低限度
22,ministry,n. (政府的)部， (全体)牧师， 牧师工作
23,notable,adj. 显著的， 著名的 n. 名人
24,note,n. 笔记， 注解， 备忘录， 音符， 音调， 票据， 便条， 纸币 vt. 记录， 注解， 注意
25,primary,n. 最主要者 adj. 主要的， 初期的， 根本的
26,prime,adj. 最初的，首要的，最好的，典型的 n. 青春，壮年，全盛时期 vt. 事先指点，在（金属、木材等上）打底漆  vi. 变得首要
27,primitive,adj. 原始的 n. 原始人，文艺复兴前的艺术家
28,principal,adj. 主要的 n. 负责人， 校长， 资本
29,rash,adj. 轻率的；鲁莽的；不顾后果的 n. [皮肤] 皮疹；突然大量出现的事物 n. (Rash)人名；(英、以、阿拉伯)拉什
30,rating,n. 等级，评定，收视率
31,ratio,n. 比，比率
32,stability,n. 稳定性，居于修道院
33,stable,adj. 稳定的；牢固的；坚定的 n. 马厩；牛棚 vi. 被关在马厩 vt. 赶入马房
34,stadium,n. 露天体育场，竞技场
35,staff,n.参谋； 全体职员； 管理人员； 权杖 adj.行政工作的； 参谋的； 职员的； 作为正式工作人员的 v.在…工作； 为…配备职员； 任职于
36,theme,n. 题目， 主题
37,theoretical,adj. 理论上的
38,urban,adj. 城市的
39,urge,n. 冲动 vt. 驱策，鼓励，力陈，催促 vi. 极力主张
40,urgent,adj. 急迫的，紧要的，紧急的
41,vapour,n. 蒸气，水蒸气，雾气 v. 蒸发，吹嘘 =vapor（英）
42,variety,n. 多样， 种类， 杂耍
