1,ancient,adj. 古代的，古老的 n. 古人， 古货币
2,announcement,n. 公告，发表，告知
3,annoy,vt. &amp;vi. 使...苦恼，骚扰， 使生气
4,annual,adj. 每年的，年度的，一年生的 n. 年刊，年鉴，一年生植物
5,anticipate,vt. 预期，期望；占先，抢先；提前使用
6,antique,adj. 古代的 n. 古物， 古董
7,anxiety,n. 焦虑，挂念，担心，渴望，热望
8,anyway,adv. 不管怎样
9,apologize,v. 道歉 vi. 道歉，谢罪 vt. 道歉，谢罪，辩白
10,apparent,adj. 明显的，表面上的，似乎真实的
11,appeal,n. 恳求， 上诉， 吸引力 n. 诉诸裁决 v. 求助， 诉请， 呼吁; 有吸引力
12,appearance,n. 外表，出现，出场
13,appetite,n. 爱好，嗜好，食欲，胃口，欲望
14,applaud,vi. 拍手喝彩 vt. 称赞，鼓掌
15,application,n.适用，应用，运用； 申请，请求，申请表格； 勤勉，用功； 敷用，敷用药
16,apply,vt. 应用， 申请; 涂 vt. 使专心从事 vi.申请; 有关联
17,boast,n. 吹牛 vt. &amp;vi. 吹牛，自夸
18,bold,adj. 大胆的，粗体的，醒目的，无礼的，陡峭的
19,bond,n. 债券；结合；约定；粘合剂 vi. 结合，团结在一起 vt. 使结合；以…作保
20,bonus,n. 红利， 奖金
21,boom,n. 繁荣，低沉声，帆杠，水栅 vi. 发出低沉声，急速增长 vt. 回响，急速增加，有力地击打
22,boost,n. 推进，支援，增加 vt. 推进，提高
23,booth,n. 电话亭，货摊，小间
24,border,n. 边缘 vt. 作...之疆界，加边
25,comprise,vt. 包含，构成
26,compute,vt. 计算
27,conceal,vt. 隐藏， 掩盖
28,conceive,vt. &amp;vi. 构思，以为，怀孕
29,concentrate,vt.&amp; vi.专心于； 注意； 集中； 聚集 vt.浓缩，（使）浓缩； [采矿]汰选； 选矿，精选，富集 vi.凝缩，浓缩，提纯 n.浓缩物 adj.集中起来的，经过浓缩的
30,concept,n. 概念， 观念
31,concern,vt. 涉及， 影响， 关心 n. 关心， 忧虑， 关心的事; 公司， 企业
32,concise,adj. 简明的， 简要的
33,conclude,vt. 使结束， 缔结， 断定， 得出结论 vi. 结束， 作出决定
34,conclusion,n. 结论
35,conduct,n. 行为， 举动， 品行 v. 引导， 指挥， 管理 vt. 导电， 传热
36,conference,n. 会议
37,confidence,n.信心； 信任； 秘密
38,confine,vt. 限制，闭居  n. 边界， 约束， 范围， 限制
39,confirm,v. 确定， 批准， 证实
40,conflict,n.冲突； 战斗； 相互干扰； 矛盾 vi.抵触； 争斗； 战斗； 冲突
41,conform,vt. 使一致，遵守，使顺从 vi. 一致，符合
42,confront,vt. 面临， 对抗， 遭遇
43,confuse,vt. 混乱，狼狈，困惑
44,congratulation,n. 祝贺
45,congress,n. 国会；代表大会；会议；社交
46,conquer,vt. 征服， 战胜， 克服 vi. 得胜
47,differ,vi. 不一致，不同(意见)
48,digest,n. 摘要 vt. 消化，理解 vi. 消化
49,dignity,n. 尊严， 高贵， 端庄
50,diligent,adj. 勤奋的， 用功的
51,dimension,n.方面，侧面
52,diminish,vt. 减少，变小， 减损 vi. 变少， 逐渐变细
53,diploma,n. 文凭
54,disable,v. 使...失去能力
55,disaster,n. 灾难
56,discipline,n. 训练， 纪律， 惩罚; 学科 vt. 训练， 惩罚
57,discount,n. 折扣， 贴现率 vt. 打折扣， 贴现， 不重视，不全信 vi. 贴现， 减息贷款
58,discourage,vt. 使气馁，阻碍
59,discriminate,vt. 区分，区别对待 vi. 辨别，差别对待
60,dismay,n. 沮丧， 绝望 vt. 使...灰心，使...惊愕
61,dismiss,vt.解雇，把…免职； 遣散，解散（队伍等）； 驳回，拒绝受理； 搁置 vi.解散
62,establish,v. 建立， 确立， 创办
63,estate,n. 住宅区；工厂区；工业区
64,esteem,n. 尊敬 vt. 认为，尊敬
65,estimate,n. 估计， 估价 v. 估计， 估价， 评价
66,ethic,n. 道德规范， 伦理
67,ethnic,adj. 民族的，种族的，有民族特色的 n. 少数民族的一员
68,evaluate,vt. 评估，评价
69,even,adj. 平坦的， 偶数的， 相等的 adv. 甚至， 恰好， 正当 v. 使平坦， 相等
70,eventually,adv. 终于， 最后
71,evidence,n. 根据， 证据 vt. vi. 证实， 证明
72,evident,adj. 明显的， 明白的
73,evolve,vt. &amp;vi. 进展，进化，展开
74,exceed,vt. 超过， 胜过， 超出界限 vi. 领先
75,excess,adj. 过量的，附加的 n. 超过，超越，过度，过量
76,exclude,vt. 除外，排除，拒绝 [计算机] 排除
77,excursion,n. 远足， 短途旅行
78,fix,vt. &amp;vi. 使...固定，修理，准备 n. 困境， (船只、飞机等的)定方位，贿赂
79,flame,n. 火焰，火舌，鲜红色，光辉，恋人，怀念，辱骂信息 vi. 焚烧，爆发，面红， 发辱骂信息 vt. 用烟火发信号，用火对待，发辱骂信息
80,flash,n. 闪光，闪现，闪烁物，花哨，一瞬间，电脑动画技术 vi. 闪现，闪烁 vt. 传送，用光联络，流露出 adj. 花哨的，炫耀的，昙花一现的
81,flatter,vt.&amp; vi. 阿谀奉承， 取悦， 炫耀 n. 平整工具
82,flavour,n. 香味 vt 给...加味
83,flaw,n. 缺点，裂纹，瑕疵，突然的狂风天气 vi. 变得有缺陷 vt. 使破裂
84,flee,vi. 逃跑， 逃走， 消失 vt. 避免， 回避
85,flexible,adj. 灵活的，易弯曲的，柔韧的，可变通的
86,float,n. 漂流物，装有轮子的展台或平板车，企业的日常零钱 vt. 使漂浮，提出，开办新公司，洽谈 vi. 漂浮，游荡，飘
87,flourish,vi. 繁荣，茂盛，活跃，手舞足蹈 vt. 挥舞 n. 挥舞，华丽词藻，茂盛，兴旺，炫耀
88,flu,n. 流行性感冒
89,fluctuate,vi. 变动， 上下， 动摇 vt. 使动摇
90,flush,n. 流溢， 面红， 旺盛， 冲水(尤指冲马桶)， 突然萌发， (纸牌)同花顺， 清一色 [计算机] 冲洗 vi. 脸发红， 冲刷， 旺盛成长 vt. 用水冲洗， 惊起(一群鸟)， 抄...老窝， 使兴奋 adj. 丰足的，齐平的，满盈的 adv. 正直地， 羞涩地
91,glue,n. 胶，粘性之物 vt. 粘， 紧附于...
92,goal,n. 目标，目的； 球门； 终点；
93,gossip,n.  闲聊，随笔 vi. 散播流言蜚语
94,govern,vt. 统治，支配，管理，规定 vi. 统治，执行
95,grab,vt. &amp;vi. 抓取，抢去，吸引注意 n. 抓，接应，掠夺 n.不法所得； 被抓住的人； 抓取装置
96,graceful,adj. 优雅的
97,gracious,adj. 亲切的， 高尚的
98,grade,n. 年级，成绩，分数，等级，级别  vt. 分级，记成绩
99,gradual,adj. 逐渐的， 逐步的
100,hike,n. 徒步旅行，远足，涨价 vi. 远足，提高 vt. 突然拉动或提高，涨...的价，徒步跋涉过
101,hinder,adj. 后面的 vt. 阻碍，打扰 vi. 阻碍
102,hint,n. 暗示，提示，小部分 vt. &amp;vi. 暗示，示意
103,historian,n. 历史学家，编史者
104,historic,adj. 有历史意义的
105,holistic,adj. 整体的， 全盘的
106,hollow,n. 洞， 窟窿， 山谷 adj. 空的， 虚伪的， 空腹的 vt. 形成空洞， 挖空 vi. 形成空洞 adv. 有闷哑声， 完全地
107,holy,adj. 神圣的，圣洁的，令人敬仰的
108,homestay,n. 在当地居民家居住
109,hopefully,adv. 怀着希望地， 但愿
110,horizon,n. 地平线；视野；眼界
111,horrible,adj. 可怕的，令人毛骨悚然的，令人讨厌的
112,inhabit,v. 居住于， 占据， 栖息
113,inhabitant,n. 居民
114,inherit,vi. 继承 vt. 继承，遗传
115,initial,n. (词)首字母 adj. 开始的， 最初的， 字首的 vt. 签姓名的首字母于
116,initiate,n. 创始人 adj. 新加入的 vt. 开始，创始，启蒙，介绍加入
117,injection,n. 注射，注射物，数学函数
118,injury,n. 受伤处，损害，伤害
119,innocent,adj. 无罪的， 不懂事的， 无知的， 无辜的
120,innovate,v. 改革， 创新
121,input,n. 输入
122,inquiry,n. 打听， 询问， 调查， 查问 =enquiry(英)
123,insane,adj. 疯狂的，精神错乱的，荒唐的
124,insecure,adj. 不安全的， 不肯定的，不牢靠的， 局促不安的
125,insert,n. 插入物 vt. &amp;vi. 插入
126,insight,n. 洞察力
127,insist,vt. 坚持，强调 vi. 坚决主张
128,inspect,vt. 调查， 检阅 vi. 调查
129,interact,vi. 相互作用，相互影响
130,interdependent,adj. 相互依赖的， 互助的
131,limitation,n. 限制
132,linguist,n. 语言学家
133,link,n. 环节，联系， (链的)环， 圈 vt. &amp;vi. 连接，联系
134,literacy,n. 读写能力，识字
135,literal,adj. 逐字的， 字面上的， 文字的 [计算机] 文字的
136,literally,adv. 逐字地， 按照字面上地， 不夸张地
137,literature,n. 文学， 文献
138,litter,n. 垃圾， 杂乱，一窝(幼仔)，褥草，轿子 v. 乱丢垃圾， 弄乱，产(幼仔)，用草等给动物铺窝
139,lively,活泼的， 活跃的， 栩栩如生的， 真实的
140,load,n. 负荷， 重担， 装载量 v. 装载， 装填， 担负， 给(枪)装子弹 [计算机] 装入
141,mock,n. 嘲笑，戏弄，模仿 adj. 假的，伪造的 vt. 嘲弄，模仿，轻视 vi. 嘲弄
142,mode,n. 方式，样式，模式，风格，时兴 [音乐] 调式
