1,aboriginal,adj. 原始的， 土著的
2,academic,n. 教学人员，学术人员 adj. 学院的，理论的，学术性的
3,academy,n. 学院，学术，学会
4,access,n.入口，出口； 接近，进入； 增长； 爆发 vt.接近，进入； 使用，接近，获取
5,accessible,adj. 可得到的， 易接近的， 可进入的
6,accessory,adj. 附属的(副的，辅助的) n. 附件，同谋
7,accommodate,vi. 使自己适应 vt. 使一致，和解；提供方便；容纳；顾及
8,accommodation,n. 住处，膳宿；调节；和解；预订铺位
9,accompany,vt. 陪伴， 伴随，给...伴奏 vi. 伴奏
10,accomplish,vt. 完成
11,accomplishment,n. 成就，完成
12,account,n.账，账目； 存款； 记述，报告； 理由 vi.解释； 导致； 报账 vt.认为； 把…视作
13,accountancy,n. 会计工作，会计学
14,accountant,n. 会计人员
15,accounting,n. 会计
16,assimilation,n. 同化， 同化作用， 消化
17,claimant,n. 申请者， 要求者， 索偿人
18,climate,n. 气候， 风气， 气氛
19,coal,n. 煤， 木炭， 运煤工 vt. 烧成炭，供应煤 vi. 装煤， 加煤
20,company,n. 同伴，客人，一群，连队，公司 vt. 陪伴 vi. 联合
21,complete,adj. 彻底的， 完整的， 已完成的 vt. 完成; 使圆满， 使完美
22,completely,adv. 完全地， 十分地， 全然
23,completion,n. 完成，完满
24,complex,adj. 复杂的 n. 复合体
25,complexity,n. 复杂，复杂性， 复杂的事物
26,complicated,adj. 复杂的， 难懂的
27,count,v. 计算， 视为， 依赖 n. 计数
28,create,vt. 创造， 造成
29,creation,n. 创造， 创作
30,creative,adj. 创造性的
31,creativity,n. 创造力， 创造
32,creature,n. 生物， 动物， 人
33,describe,vt. 描述， 画(尤指几何图形)
34,description,n. 描写， 描述， 说明书， 作图 n. 类型
35,differ,vi. 不一致，不同(意见)
36,difference,n. 差异，分歧 vt. 引起区别
37,differentiate,vt. 识别， 使差异， 求导数， 区分， 区别对待 vi. 区别，变异
38,divide,vt.&amp; vi.分； 划分； 分离； （使）产生分歧 n.分水岭，分界线； 分配
39,divisible,adj. 可分的， 可割的，【数】可以除的
40,division,n. 区分，分开，除法，公司，部门，师（军队里）
41,economic,adj. 经济学的， 经济的，有利可图的 n. [-s]经济学(状况等)
42,economical,adj. 节俭的， 经济的， 合算的
43,economics,n. 经济学
44,economist,n. 经济学家 &amp;lt;古&amp;gt;节俭的人
