1,Mediterranean,adj. 地中海(的) n. 地中海
2,adventure,n. 冒险，奇遇 vt. 冒险，尝试 vi. 大胆进行，冒险
3,adventurous,adj. 爱冒险的，大胆的，危险的
4,aggression,n. 进攻， 侵犯， 侵害， 侵略
5,aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
6,allergic,adj. 过敏的，反感的
7,allergy,n. 敏感症，反感，厌恶
8,apparatus,n. 装置， 器具， 机构， 组织
9,architect,n. 建筑师
10,architectural,adj. 建筑的，建筑学的，建筑术的
11,architecture,n. 建筑学， 建筑业， 建筑物， 结构  [总称]建筑物， 建筑风格
12,assign,v. 分配，指派 n.[计算机] DOS 命令将驱动器符重指向第二个驱动器符
13,assignment,n. 分配，功课，任务，被指定的(课外)作业;(分派的)任务， 委派
14,assist,n. 帮助，协助，协助的器械 vt. 帮助，协助 vi. 帮助，协助，出席
15,assistance,n. 帮助， 援助
16,assistant,adj. 助理的；辅助的。 n. 助手助理；助教，店员
17,atmosphere,n. 大气， 气氛，空气， 格调， 情趣， 气压
18,atmospheric,adj. 大气的，大气层的，制造气氛的
19,audience,n. 听众， 观众， 读者， 拥护者， 倾听， 正式会见
20,audio,adj. 成音频率的，声音的 n. 音响设备
21,auditory,adj. 听觉的 n. 观众，观众席
22,authority,n. 权威；权力；当局
23,auto,n. autos=automobile 自动汽车 pref. 自动的，自己的
24,automate,v. 自动化 vt. 使自动化
25,automatic,n. 自动装置， 半自动武器 adj. 自动的，机械的，半自动化的
26,automatically,adj. 不经思索的 adv. 自动地
27,automation,n. 自动化
28,automobile,n. 汽车 adj. 汽车的
29,barrier,n. 界线，屏障，障碍物 v. 以屏障隔开
30,capability,n. 能力，才能，性能，容量
31,capable,adj. 有能力的，足以胜任的， 有...倾向的
32,capacity,n. 能力， 容量， 容积; 资格， 职位 adj. (达到最大容量)满的
33,capital,n. 首都，资本，大写字母 adj. 大写的，资本的，首要的
34,capitalism,n. 资本主义
35,capitalist,n. 资本家，资本主义者 adj. 资本主义的，有资本的
36,clerk,n. 职员，办事员
37,commit,v. 委托(托付)， 犯罪， 作...事， 承诺 [计算机] 委托
38,commitment,n. 委托，实行，承诺，保证(律）拘禁令，奉献，献身
39,communicate,vt. 传达， 传播 vi. 交流， 沟通， 联通
40,communication,n. 沟通，交通，沟通
41,communicative,adj. 健谈的，爱说话的， 畅谈的
42,communicator,n. 传播者， 传播工作者
43,communist,adj. 共产主义的 n. 共产主义者
44,community,n. 社区， 团体
45,conceive,vt. &amp;vi. 构思，以为，怀孕
46,concept,n. 概念， 观念
47,conception,n. 概念，观念，构想，怀孕
48,conceptual,adj. 概念上的
49,conduct,n. 行为， 举动， 品行 v. 引导， 指挥， 管理 vt. 导电， 传热
50,conductor,n. 售票员，导体，指挥
51,consequence,n. 结果，后果
52,consequential,adj. 作为结果的(引出重要结果的， 自高自大的)
53,consequently,adv. 所以， 因此
54,consult,v. 商讨，向...请教，查阅
55,consultant,n. 顾问， 咨询专家
56,context,n. 上下文， 环境，背景
57,correspond,vi. 符合，通信，相当
58,correspondence,n. 通信；一致；相当
59,corresponding,adj. 符合的， 一致的， 相同的， 相应的， 相当的
60,criterion,n. 标准， 准则
61,critic,n. 批评家， 评论家
62,critical,adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
63,criticise,v. 批评，评论，吹毛吹疵 =criticize（美）
64,criticism,n. 批评，评论
65,define,vt. 定义， 解释
66,definite,adj. 明确的，一定的
67,definitely,adj. 明确地， 确切地 adv. 肯定地
68,definitive,adj. 决定性的，权威性的，确定的，限定的 n. 限定词
69,distinct,adj. (from)独特的，不同的，明显的，清楚的
70,distinction,n. 区别; 卓越; 殊荣
71,distinctive,adj. 有特色的，出众的
72,distinguish,vt. 区别，辨认，特别关注 vi. 区别
73,diverse,adj. 不同的，相异的，多种多样的
74,diversify,v. 使成形形色色， 使多样化， 使变化
75,diversity,n. 多样化，（人在种族、民族、宗教等方面的）多样性； 差异； 分歧 vt. 使不同，使多样化
76,eligible,adj. 可以选的，有资格的，合格的 n. 有资格者，合格者，适任者
77,emphasise,vt. 强调，着重
78,entire,adj. 全部的，完整的，同性质的，纯正的，全面的
79,entirely,adv. 完全地
